,Identifier,Amount,Time_min,Replicate,Peak_Nr,Area_All,Area_64,Area_66,Ampl_64,Ampl_66,d34S,Type,Correction_of_area_blank,Correction_of_d34S_blank,Correction_of_d34S_by_amplitude,Std_group,Correction_of_d34S_by_true_value,r_sq
7,DddP,,3.0,a,2.0,43.982,41.951,2.031,1000.0,4830.0,10.342,Sample,41.9794,10.592466920441932,10.670057221893895,low,10.946961227426469,
10,DddP,,3.0,b,2.0,57.126999999999995,54.49,2.637,1253.0,6052.0,9.735,Sample,55.124399999999994,9.90368887171561,9.975912663383372,high,10.605671790017206,
13,DddP,,3.0,c,2.0,68.432,65.27199999999999,3.16,1448.0,6998.0,10.388,Sample,66.4294,10.547666813790281,10.615754362738993,high,11.251911906366383,
16,DddP,,15.0,a,2.0,54.798,52.266999999999996,2.531,1303.0,6300.0,9.594,Sample,52.7954,9.764782042374904,9.835945258986499,high,10.464304711576363,
19,DddP,,15.0,b,2.0,76.759,73.21300000000001,3.5460000000000003,1758.0,8501.0,9.464,Sample,74.7564,9.581129345982418,9.642641329582899,high,10.269067742878727,
22,DddP,,15.0,c,2.0,95.685,91.26299999999999,4.422,2145.0,10375.0,9.965,Sample,93.6824,10.06917614023552,10.122479272901272,high,10.753704065630284,
25,DddP,,25.0,a,2.0,63.937,60.983000000000004,2.9539999999999997,1507.0,7290.0,9.772,Sample,61.9344,9.923337044356611,9.990173114739047,high,10.620074845886437,
28,DddP,,25.0,b,2.0,64.965,61.964,3.0010000000000003,1551.0,7503.0,9.611,Sample,62.9624,9.754745321652289,9.820648085985297,high,10.44885456684515,
31,DddP,,25.0,c,2.0,102.59899999999999,97.854,4.745,2425.0,11736.0,10.12,Sample,100.59639999999999,10.220101731672305,10.267465644023524,high,10.90014030046376,
52,DddP,,38.0,a,2.0,50.373000000000005,48.044,2.329,1204.0,5826.0,9.776,Sample,48.370400000000004,9.969940497494335,10.043203652717139,high,10.67363568924431,
55,DddP,,38.0,b,2.0,80.039,76.339,3.7,1849.0,8946.0,9.427,Sample,78.0364,9.53825669610592,9.597838433104178,high,10.22381681743522,
58,DddP,,38.0,c,2.0,72.444,69.095,3.3489999999999998,1731.0,8377.0,9.861,Sample,70.4414,9.996590724204802,10.058675418335612,high,10.689262172518967,
61,DddP,,51.0,a,2.0,73.75399999999999,70.122,3.6319999999999997,1785.0,8564.0,9.565,Sample,71.75139999999999,9.689853742784113,9.750793015854264,high,10.378300946012805,
64,DddP,,51.0,b,2.0,76.98,73.42399999999999,3.557,1793.0,8674.0,9.488,Sample,74.9774,9.605425125971294,9.666194707032458,high,10.292856654102783,
67,DddP,,51.0,c,2.0,118.932,113.436,5.496,2644.0,12788.0,9.738,Sample,116.9294,9.817576912564332,9.860295506169543,high,10.488898461231237,
70,DmdA,,3.0,a,2.0,36.916,35.204,1.712,870.0,4222.0,12.075999999999999,Sample,34.913399999999996,12.476618657592784,12.55696645419078,low,12.965954105984135,
73,DmdA,,3.0,b,2.0,44.848,42.773,2.075,1028.0,4978.0,11.93,Sample,42.8454,12.249627774276819,12.32662415369733,low,12.719487844456143,
76,DmdA,,3.0,c,2.0,42.253,40.298,1.955,943.0,4568.0,12.046,Sample,40.2504,12.392006038200861,12.470805395216855,low,12.873761772882036,
79,DmdA,,15.0,a,2.0,40.22,38.358000000000004,1.8619999999999999,1015.0,4919.0,12.100999999999999,Sample,38.2174,12.4682940712869,12.545566200222014,low,12.953755834237555,
82,DmdA,,15.0,b,2.0,66.345,63.272,3.073,1597.0,7741.0,11.686,Sample,64.3424,11.891244837618741,11.956171872900077,high,12.605733591629077,
85,DmdA,,15.0,c,2.0,61.825,58.963,2.862,1453.0,7042.0,11.944,Sample,59.8224,12.173389262884807,12.241370754327903,high,12.893784461871181,
100,DmdA,,25.0,a,2.0,63.248000000000005,60.318999999999996,2.929,1529.0,7414.0,11.833,Sample,61.245400000000004,12.053430067237702,12.119799484595424,high,12.770997479441377,
103,DmdA,,25.0,b,2.0,73.911,70.49,3.4210000000000003,1806.0,8750.0,11.992,Sample,71.9084,12.184171443670003,12.244665275216564,high,12.897111927968728,
106,DmdA,,25.0,c,2.0,69.702,66.475,3.227,1678.0,8134.0,12.026,Sample,67.6994,12.23112485250977,12.294333756200118,high,12.947277093762118,
109,DmdA,,38.0,a,2.0,61.623999999999995,58.772,2.852,1501.0,7271.0,11.712,Sample,59.621399999999994,11.93437003894575,12.001333378334925,high,12.651346712118274,
112,DmdA,,38.0,b,2.0,54.17,51.662,2.5069999999999997,1326.0,6426.0,11.886,Sample,52.1674,12.146823147022854,12.217498499108611,high,12.869673484099696,
115,DmdA,,38.0,c,2.0,90.443,86.258,4.185,2195.0,10629.0,11.748,Sample,88.4404,11.898724178542835,11.95096673615242,high,12.600476403513944,
118,DmdA,,51.0,a,2.0,42.211000000000006,40.257,1.954,1029.0,4989.0,12.161,Sample,40.208400000000005,12.513095095552172,12.590070263471558,low,13.001375181914568,
121,DmdA,,51.0,b,2.0,42.912,40.925,1.9869999999999999,1026.0,4971.0,11.854000000000001,Sample,40.9094,12.185033509169042,12.2620723115918,low,12.650417373403226,
124,DmdA,,51.0,c,2.0,53.118,50.66,2.458,1287.0,6235.0,11.992,Sample,51.1154,12.262343987134994,12.333846587764562,high,12.987185053642207,
0,DddP,,0.0,a,,,,,,,,Sample,,,,,10.82,0.46
1,DddP,,0.0,b,,,,,,,,Sample,,,,,10.52,0.46
2,DddP,,0.0,c,,,,,,,,Sample,,,,,11.17,0.8
3,DmdA,,0.0,a,,,,,,,,Sample,,,,,12.91,0.04
4,DmdA,,0.0,b,,,,,,,,Sample,,,,,12.73,0.01
5,DmdA,,0.0,c,,,,,,,,Sample,,,,,12.87,0.0
