,Name,d34S,Replicate,Time_min,ID,f_R,Real_conc,minus_ln_f_R,d34S_approx,r34_approx,f34_approx,conc_s_cell_lysate,F34_approx_DMSP,R34_approx_DMSP,d34S_approx_DMSP
0,DmdA,12.91,a,0,DmdA_0_a,1.0,206.3445209,0.0,12.827376304786696,0.04558178965690877,0.04359466672795221,68.10245041817801,0.043660425314381544,0.04565368460124033,14.424881983808868
1,DmdA,12.965954105984135,a,3,DmdA_3_a,0.8453512414053151,174.4335969,0.16800306768978251,12.88261572444115,0.04558427567937061,0.04359694071503909,68.10245041817801,0.04367561700417465,0.04567029533154265,14.79397241481717
2,DmdA,12.953755834237555,a,15,DmdA_15_a,0.7585120773613911,156.5148112,0.276396557628962,12.870573517944244,0.04558373372588832,0.043596444986240206,68.10245041817801,0.04368391292396285,0.04567936638766333,14.995531283834573
3,DmdA,12.770997479441375,a,25,DmdA_25_a,0.47414061756170434,97.83631857,0.7462513397598062,12.690136017742807,0.0455756132264105,0.0435890170446635,68.10245041817801,0.04372377443259958,0.04572295458527828,15.96406104452397
4,DmdA,12.651346712118276,a,38,DmdA_38_a,0.4119324304287839,85.0,0.886895946896338,12.571987061990011,0.04557029599173133,0.04358415322855702,68.10245041817801,0.043735364157269266,0.04573562852580703,16.24567600588889
5,DmdA,13.001375181914568,a,51,DmdA_51_a,0.3683160554422068,76.0,0.9988138631003234,12.9175827995977,0.0455858493551045,0.04359838016478599,68.10245041817801,0.04378024619320279,0.04578471216361058,17.336314448790134
6,DmdA,12.73,b,0,DmdA_0_b,1.0,209.61908640000001,0.0,12.649654695345884,0.045573791384736696,0.04358735056315795,69.1831960257287,0.04365069450466248,0.04564304512361597,14.188472788631667
7,DmdA,12.719487844456143,b,3,DmdA_3_b,0.7867304892518604,164.9137264,0.23986954251657702,12.639274623557373,0.04557332423479589,0.04358692324916454,69.1831960257287,0.0436672594133432,0.04566115700122927,14.590918713223378
8,DmdA,12.605733591629074,b,15,DmdA_15_b,0.7289841918708029,152.8090003,0.3161032318851342,12.526942784954118,0.04556826879656547,0.043582298886149166,69.1831960257287,0.04366690521143771,0.045660769714439414,14.58231320066683
9,DmdA,12.897111927968727,b,25,DmdA_25_b,0.48775937370939704,102.2436743,0.7179330813972661,12.814652416164293,0.04558121702466327,0.04359414293455895,69.1831960257287,0.043728606188187066,0.04572823831305836,16.081465476971424
10,DmdA,12.869673484099696,b,38,DmdA_38_b,0.3957265072308797,82.95182891,0.9270319446340147,12.787562976186821,0.045579997877961805,0.043593027764941825,69.1831960257287,0.043757832643757454,0.04576019980873289,16.791649917961227
11,DmdA,12.650417373403226,b,51,DmdA_51_b,0.34825073066438095,73.0,1.0548325682213908,12.571069333351668,0.04557025468981282,0.04358411544839907,69.1831960257287,0.043762941250709016,0.04576578668468329,16.915790302820533
12,DmdA,12.87,c,0,DmdA_0_c,1.0,197.910786,0.0,12.78788534327534,0.045580012385931436,0.04359304103558888,65.31895992198181,0.04365826307453401,0.045651320431638324,14.372350134727041
13,DmdA,12.873761772882034,c,3,DmdA_3_c,0.8400012518771968,166.245308,0.17435189681589214,12.79159931041479,0.04558017953116557,0.043593193925695446,65.31895992198181,0.04367089916604362,0.04566513674838598,14.679348695929795
14,DmdA,12.89378446187118,c,15,DmdA_15_c,0.8049451013751217,159.3073177,0.21698120093863651,12.81136731294512,0.04558106918023544,0.043594007699443396,65.31895992198181,0.04367543074175556,0.04567009166734219,14.789446996237965
15,DmdA,12.947277093762116,c,25,DmdA_25_c,0.48872187567382,96.72333055,0.7159617127166186,12.864177607808305,0.04558344588115061,0.04359618169235246,65.31895992198181,0.04373175693930536,0.045731683820571765,16.158024654684855
16,DmdA,12.600476403513944,c,38,DmdA_38_c,0.4370428113503627,86.49548631,0.8277241222081463,12.521751029083408,0.04556803514418838,0.04358208515613655,65.31895992198181,0.043723046480957574,0.04572215854419513,15.946373011479498
17,DmdA,12.987185053642206,c,51,DmdA_51_c,0.34358915637877363,68.0,1.068308648221094,12.903574696540318,0.04558521892743045,0.043597803509686305,65.31895992198181,0.043792203875081204,0.04579779003324524,17.62690471497819
