,Name,d34S,Replicate,Time_min,ID,f_R,Real_conc,minus_ln_f_R,d34S_approx,r34_approx,f34_approx,F34_approx_DMSP,R34_approx_DMSP,d34S_approx_DMSP
0,DddK,12.73,a,0,DddK_0_a,1.0,210.0,0.0,12.649654695345884,0.045573791384736696,0.04358735056315795,0.04366173711278779,0.045655118912602925,14.456752382604465
1,DddK,12.662701432740487,a,4,DddK_4_a,0.957823129047619,201.1428571,0.04309214326786249,12.583199861933517,0.045570800618186386,0.04358461482593333,0.04366116991822184,0.045654498745479465,14.44297226898339
2,DddK,13.158827069453704,a,11,DddK_11_a,0.8938775509523809,187.71428569999998,0.11218648080432976,13.073001791325119,0.0455928439091177,0.04360477806892928,0.04369555232268519,0.04569209358882889,15.278329696561288
3,DddK,14.506532289472398,a,20,DddK_20_a,0.7585034014285715,159.28571430000002,0.2764079957888766,14.402319188061643,0.04565266917389912,0.043659496618476824,0.04379443177366615,0.045800226676048814,17.681046918615053
4,DddK,14.609578581825545,a,27,DddK_27_a,0.7459863947619048,156.6571429,0.29304791652926104,14.503886852809606,0.045657240175867274,0.04366367717990291,0.043803048445373506,0.045809650798568864,17.890450923104595
5,DddK,14.595499662286567,a,40,DddK_40_a,0.6106122447619049,128.22857140000002,0.4932931452271663,14.490010562344679,0.04565661568035304,0.04366310602897751,0.04383301369658932,0.04584242535506265,18.618701575679133
6,DddK,12.68,c,0,DddK_0_c,1.0,213.0,0.0,12.600281975738454,0.045571569390177126,0.04358531804451842,0.0436578802319411,0.04565090183681277,14.363048957610314
7,DddK,13.216237106849272,c,4,DddK_4_c,0.8713615023474178,185.6,0.13769834535732492,13.129664586309211,0.045595393989874555,0.043607110601250505,0.04369994180940343,0.04569689339148169,15.38498131257282
8,DddK,12.906131878098268,c,11,DddK_11_c,0.8413145539906103,179.2,0.17278966516859506,12.823557476571429,0.04558161779245436,0.043594509521591655,0.043684932808107625,0.04568048157641533,15.020310778151691
9,DddK,13.745969731632886,c,20,DddK_20_c,0.7661971830985915,163.2,0.2663157231794185,13.652350835768233,0.04561891722318833,0.043628626521349495,0.043744929724213615,0.045746089180575496,16.478111757168623
10,DddK,13.70822866615868,c,27,DddK_27_c,0.7248826291079813,154.4,0.32174552811874924,13.615120830268383,0.04561724170540582,0.043627094012914244,0.043749218039648596,0.045750778838539605,16.582315958173055
11,DddK,14.907073648584788,c,40,DddK_40_c,0.5652582159624413,120.4,0.5704726328347045,14.797055246932358,0.04567043407286057,0.04367574389090772,0.043865242483409325,0.04587767795131972,19.40201427234434
12,DddK,12.53,b,0,DddK_0_b,1.0,212.0,0.0,12.45214918923791,0.045564902748187065,0.043579219834582454,0.04364978306187463,0.04564204858093184,14.566329609968776
13,DddK,12.706350205149036,b,4,DddK_4_b,0.8948787061320753,189.71428569999998,0.11106709376624797,12.626301905365985,0.04557274040410005,0.043586389203764814,0.04366831729365644,0.04566231369651848,15.016620482806653
14,DddK,12.49982603737226,b,11,DddK_11_b,0.849865229245283,180.17142859999998,0.16267749589784095,12.422348183601475,0.045563561568828896,0.04357799300165213,0.04366046751314148,0.0456537307410132,14.825907209572264
15,DddK,14.640882758617904,b,20,DddK_20_b,0.7331536386792453,155.4285714,0.3103999964952613,14.534739798161771,0.04565862869724637,0.04366494709093639,0.043806085003146235,0.04581297194648051,18.364246830439512
16,DddK,14.593293552706836,b,27,DddK_27_b,0.7032345014150944,149.0857143,0.3520648703689302,14.4878361864689,0.045656517823653944,0.04366301653116435,0.04380910519726708,0.045816275218041186,18.437645525251554
17,DddK,14.483370142488903,b,40,DddK_40_b,0.5280323448113208,111.9428571,0.6385977380397885,14.379487978348134,0.04565164166672157,0.04365855687268363,0.04384987551439419,0.04586086890694571,19.428517302618786
