,Name,d34S,Replicate,Time_min,ID,f_R,Real_conc,minus_ln_f_R,d34S_approx,r34_approx,f34_approx,conc_s_cell_lysate,F34_approx_DMSP,R34_approx_DMSP,d34S_approx_DMSP
0,DddY,14.49,b,0,DddY_0_b,1.0,95.3,0.0,14.386023162701534,0.045651935779425806,0.04365882586483904,0.02605674833265285,0.04365889788371,0.04565201452399892,14.387772867133553
1,DddY,14.510204612820866,b,4,DddY_4_b,0.7308263243441764,69.64774871,0.31357943385695314,14.40593899393287,0.04565283208145245,0.043659645611609905,0.02605674833265285,0.043659744462735246,0.045652940164280266,14.40834059439089
2,DddY,16.193269257981655,b,11,DddY_11_b,0.5276477713536201,50.284832609999995,0.639326317594947,16.06355671330548,0.04572743233810395,0.04372786915980931,0.02605674833265285,0.04372804142730457,0.045727620720544614,16.0677425711786
3,DddY,17.519185448270534,b,18,DddY_18_b,0.40089417859391396,38.20521522,0.9140577802824219,17.367493634266527,0.04578611536726335,0.043781529219465674,0.02605674833265285,0.04378179255128504,0.04578640336508463,17.373892945919287
4,DddY,18.913635669121827,b,25,DddY_25_b,0.35242956956977967,33.58653798,1.042904479331943,18.73699664397685,0.04584774916546386,0.0438378809937184,0.02605674833265285,0.04383822425603498,0.04584812462506732,18.745339356449175
5,DddY,19.996833329251608,b,35,DddY_35_b,0.2861022054564533,27.265540180000002,1.2514061702649304,19.799522712195305,0.04589556761990099,0.04388159682552583,0.02605674833265285,0.043882061444424886,0.04589607586561792,19.810815932138183
6,DddY,20.705231329085244,b,43,DddY_43_b,0.2554737831059811,24.346651530000003,1.3646354847558755,20.49379165086748,0.045926812846351465,0.043910159183478355,0.02605674833265285,0.04391071007350184,0.045927415499945196,20.50718261385409
7,DddY,22.032289994521967,b,51,DddY_51_b,0.2099952166841553,20.01254415,1.5606705262185825,21.793086188981444,0.04598528694739202,0.043963607826258896,0.02605674833265285,0.04396434761352213,0.045986096338329355,21.811070855788817
8,DddY,14.75,c,0,DddY_0_c,1.0,100.1,0.0,14.6422767368701,0.04566346834340448,0.04366937329822468,0.027369155384035154,0.0436694482009552,0.045663550242961946,14.644096545055385
9,DddY,14.564876466900095,c,4,DddY_4_c,0.6903282912087912,69.10186195,0.37058801017975546,14.459827442519403,0.045655257304136866,0.043661863683297754,0.027369155384035154,0.04366196921202451,0.04565537268872304,14.462391288049714
10,DddY,15.912860441630054,c,11,DddY_11_c,0.5477739011988013,54.832167510000005,0.6018926662256862,15.78757819620637,0.045715012062931173,0.04371651122493404,0.027369155384035154,0.04371667149378653,0.045715187320137914,15.791472411379015
11,DddY,18.36023801681217,c,18,DddY_18_c,0.4086964475524476,40.910514400000004,0.8947825805161177,18.193723917547217,0.04582329944804725,0.043815527414842785,0.027369155384035154,0.04381580846430457,0.04582360684496725,18.200554277177705
12,DddY,19.103894219703967,c,25,DddY_25_c,0.31481916633366636,31.513398549999998,1.1557568801319418,18.923706079341986,0.045856151930247745,0.043845563126071345,0.027369155384035154,0.043845954068675703,0.04585657954934276,18.933207775728043
13,DddY,19.353253429181876,c,35,DddY_35_c,0.2796287,27.99083287,1.2742926272522332,19.16836092627786,0.045867162499306675,0.04385562922704066,0.027369155384035154,0.04385607921117801,0.04586765470934187,19.179297833369358
14,DddY,20.794943510962668,c,43,DddY_43_c,0.2565583841158841,25.68149425,1.3603990218869342,20.58168013899093,0.04593076822381522,0.04391377481113229,0.027369155384035154,0.04391432722549614,0.0459313725495534,20.595108257027483
15,DddY,21.57667075590947,c,51,DddY_51_c,0.22550218971028974,22.572769190000002,1.4894254096196335,21.34718948867125,0.04596521958934291,0.04394526579706861,0.027369155384035154,0.04394593247238299,0.04596594896147288,21.363396137561217
16,DddY,14.05,a,0,DddY_0_a,1.0,96.4,0.0,13.952213618004045,0.04563241239777147,0.04364096967224878,0.026357508281927962,0.04364103680891284,0.045632485801456395,14.753844647899506
17,DddY,13.564544903616802,a,3,DddY_3_a,0.6959631512448131,67.09084777999999,0.36245856366305423,13.473370036141647,0.04561086228179154,0.043621259043021915,0.026357508281927962,0.043621347765277485,0.04561095928202668,14.275525381388077
18,DddY,14.620979884321274,a,9,DddY_9_a,0.5626720445020746,54.24158509,0.5750583347756688,14.515123922395626,0.04565774589456546,0.04366413969946259,0.026357508281927962,0.04366427027600434,0.04565788866699158,15.318296325735759
19,DddY,19.53425307838061,a,20,DddY_20_a,0.36478601680497924,35.16537202,1.0084443526433189,19.345908386936276,0.04587515293399988,0.04386293412297447,0.026357508281927962,0.04386328453599604,0.04587553623511844,20.154425337875903
20,DddY,19.67606166804728,a,26,DddY_26_a,0.31146957406639003,30.02566694,1.166453621074506,19.48499025492197,0.04588141224392764,0.0438686563379012,0.026357508281927962,0.04386907175673658,0.04588186665746597,20.29508732384464
21,DddY,21.343844523266466,a,37,DddY_37_a,0.23799034595435686,22.942269350000004,1.43552516935036,21.119254792328757,0.045954961502301356,0.04393588939651513,0.026357508281927962,0.04393651031693383,0.04595564080320516,21.934348858562025
22,DddY,21.574449460357734,a,45,DddY_45_a,0.18258231815352696,17.60093547,1.7005541492803502,21.345015106629965,0.045965121732366325,0.043945176351805296,0.026357508281927962,0.04394599960943933,0.04596602241242316,22.165028217692928
23,DddY,22.495932648176908,a,53,DddY_53_a,0.14359148371369296,13.84221903,1.9407829297416124,22.246631076714294,0.04600569850829199,0.04398226374282729,0.026357508281927962,0.04398338116740166,0.04600692111514778,23.073797401321627
