,Transcripts,Enzyme,Ocean_and_sea_regions,Reads_per_Kb_per_million_mapped_reads,Sample_ID,Size_fraction_upper_threshold_micrometre,Total_transcripts_per_million_sequences,Station
344,2.75e-07,alma1,Southern Ocean (S of 40S),275.0,,,,
351,1.6300000000000002e-07,alma1,North Pacific Ocean,163.00000000000003,,,,
352,0.0,alma1,North Pacific Ocean,0.0,,,,
353,0.0,alma1,North Pacific Ocean,0.0,,,,
354,2.27e-08,alma1,North Pacific Ocean,22.700000000000006,,,,
355,0.0,alma1,North Pacific Ocean,0.0,,,,
356,0.0,alma1,North Pacific Ocean,0.0,,,,
357,0.0,alma1,North Pacific Ocean,0.0,,,,
358,0.0,alma1,North Pacific Ocean,0.0,,,,
359,0.0,alma1,North Pacific Ocean,0.0,,,,
360,0.0,alma1,North Pacific Ocean,0.0,,,,
361,0.0,alma1,South Pacific Ocean,0.0,,,,
362,9.9e-08,alma1,South Pacific Ocean,99.0,,,,
363,0.0,alma1,South Pacific Ocean,0.0,,,,
364,0.0,alma1,South Pacific Ocean,0.0,,,,
365,0.0,alma1,South Pacific Ocean,0.0,,,,
366,0.0,alma1,South Pacific Ocean,0.0,,,,
368,2.74e-07,alma1,Indian Ocean,274.0,,,,
369,0.0,alma1,Indian Ocean,0.0,,,,
370,0.0,alma1,Indian Ocean,0.0,,,,
371,0.0,alma1,Indian Ocean,0.0,,,,
372,0.0,alma1,Indian Ocean,0.0,,,,
390,9.05e-08,alma1,Indian Ocean,90.5,,,,
391,0.0,alma1,South Pacific Ocean,0.0,,,,
392,0.0,alma1,South Pacific Ocean,0.0,,,,
395,3.68e-07,alma1,Southern Ocean (S of 40S),368.0,,,,
396,2.86e-06,alma1,Southern Ocean (S of 40S),2860.0,,,,
397,1.08e-07,alma1,Southern Ocean (S of 40S),108.0,,,,
398,6.92e-06,alma1,Southern Ocean (S of 40S),6920.0,,,,
399,2.75e-08,alma1,Southern Ocean (S of 40S),27.5,,,,
400,1.33e-07,alma1,Southern Ocean (S of 40S),133.0,,,,
401,9.5e-07,alma1,Southern Ocean (S of 40S),950.0,,,,
402,2.34e-06,alma1,Southern Ocean (S of 40S),2340.0,,,,
420,0.0,alma1,North Pacific Ocean,0.0,,,,
421,0.0,alma1,North Pacific Ocean,0.0,,,,
422,2.16e-08,alma1,North Pacific Ocean,21.6,,,,
423,2.78e-08,alma1,North Pacific Ocean,27.8,,,,
424,1.83e-07,alma1,North Pacific Ocean,183.0,,,,
425,0.0,alma1,North Pacific Ocean,0.0,,,,
436,0.0,alma1,South Atlantic Ocean,0.0,,,,
437,0.0,alma1,South Atlantic Ocean,0.0,,,,
438,3.2e-08,alma1,South Atlantic Ocean,32.0,,,,
439,0.0,alma1,South Atlantic Ocean,0.0,,,,
453,0.0,alma1,Indian Ocean,0.0,,,,
454,4.75e-08,alma1,Indian Ocean,47.5,,,,
455,0.0,alma1,Indian Ocean,0.0,,,,
462,0.0,alma1,South Pacific Ocean,0.0,,,,
463,0.0,alma1,South Pacific Ocean,0.0,,,,
464,2.65e-08,alma1,South Pacific Ocean,26.5,,,,
465,0.0,alma1,South Pacific Ocean,0.0,,,,
471,0.0,alma1,South Atlantic Ocean,0.0,,,,
472,0.0,alma1,North Pacific Ocean,0.0,,,,
473,0.0,alma1,North Pacific Ocean,0.0,,,,
474,2.63e-08,alma1,North Pacific Ocean,26.3,,,,
475,6.440000000000001e-08,alma1,North Pacific Ocean,64.4,,,,
476,8.44e-08,alma1,North Pacific Ocean,84.4,,,,
477,0.0,alma1,North Pacific Ocean,0.0,,,,
