,Transcripts,Enzyme,Ocean_and_sea_regions,Reads_per_Kb_per_million_mapped_reads,Sample_ID,Size_fraction_upper_threshold_micrometre,Total_transcripts_per_million_sequences,Station
7,,,,,ERR598988,3.0,0.0,124.0
8,,,,,ERR598999,3.0,0.0,122.0
9,,,,,ERR599004,3.0,0.0,138.0
10,,,,,ERR599010,3.0,0.0,76.0
11,,,,,ERR599011,1.6,0.0,41.0
12,,,,,ERR599015,3.0,0.0,137.0
13,,,,,ERR599016,1.6,0.0,52.0
14,,,,,ERR599022,3.0,0.0,78.0
15,,,,,ERR599027,3.0,0.0,82.0
16,,,,,ERR599031,1.6,0.0,37.0
17,,,,,ERR599035,3.0,0.0,82.0
18,,,,,ERR599067,3.0,0.0,109.0
19,,,,,ERR599098,1.6,0.0,52.0
20,,,,,ERR599102,1.6,0.0,38.0
21,,,,,ERR599104,3.0,0.0,85.0
22,,,,,ERR599109,1.6,0.0,38.0
23,,,,,ERR599113,3.0,0.0,100.0
24,,,,,ERR599169,3.0,0.0,100.0
25,,,,,ERR599176,3.0,0.0,85.0
26,,,,,ERR598943,3.0,0.1507065537683684,102.0
27,,,,,ERR598945,3.0,3.0824213262045834,84.0
28,,,,,ERR598952,3.0,0.0,109.0
29,,,,,ERR598953,3.0,0.04240081379033892,100.0
30,,,,,ERR598956,3.0,0.6430496759491825,123.0
31,,,,,ERR598976,3.0,0.2138123912697174,151.0
32,,,,,ERR598977,1.6,0.039523228137123625,41.0
33,,,,,ERR598988,3.0,0.20658320347168854,124.0
34,,,,,ERR598999,3.0,1.2523199226567217,122.0
35,,,,,ERR599004,3.0,1.4338401393379778,138.0
36,,,,,ERR599010,3.0,0.4504714859808018,76.0
37,,,,,ERR599011,1.6,0.3004831167551189,41.0
38,,,,,ERR599015,3.0,0.28810577976567564,137.0
39,,,,,ERR599016,1.6,0.2814847891015095,52.0
40,,,,,ERR599022,3.0,0.5146907478302158,78.0
41,,,,,ERR599027,3.0,6.017983828892497,82.0
42,,,,,ERR599031,1.6,0.0614468886582992,37.0
43,,,,,ERR599035,3.0,4.803547519134086,82.0
44,,,,,ERR599067,3.0,1.8648437887699731,109.0
45,,,,,ERR599098,1.6,0.4262977477837389,52.0
46,,,,,ERR599102,1.6,0.07903282630416364,38.0
47,,,,,ERR599104,3.0,4.431516479895788,85.0
48,,,,,ERR599109,1.6,0.0770926748776019,38.0
49,,,,,ERR599113,3.0,0.2009728694665135,100.0
50,,,,,ERR599169,3.0,0.3160832552457177,100.0
51,,,,,ERR599176,3.0,1.3652822182458235,85.0
52,,,,,ERR598943,3.0,3.0518077138094597,102.0
53,,,,,ERR598945,3.0,19.522001732629032,84.0
54,,,,,ERR598952,3.0,1.6074623663833438,109.0
55,,,,,ERR598953,3.0,0.21200406895169455,100.0
56,,,,,ERR598956,3.0,0.04019060474682391,123.0
57,,,,,ERR598976,3.0,4.353997785856064,151.0
58,,,,,ERR598977,1.6,0.316185825096989,41.0
59,,,,,ERR598988,3.0,0.4957996883320526,124.0
60,,,,,ERR598999,3.0,0.03578056921876347,122.0
61,,,,,ERR599004,3.0,0.04344970119205993,138.0
62,,,,,ERR599010,3.0,0.4004190986496016,76.0
63,,,,,ERR599011,1.6,0.0,41.0
64,,,,,ERR599015,3.0,0.10803966741212837,137.0
65,,,,,ERR599016,1.6,0.7037119727537736,52.0
66,,,,,ERR599022,3.0,1.2165417675986923,78.0
67,,,,,ERR599027,3.0,28.2583588487126,82.0
68,,,,,ERR599031,1.6,0.0614468886582992,37.0
69,,,,,ERR599035,3.0,20.77064681457979,82.0
70,,,,,ERR599067,3.0,0.0,109.0
71,,,,,ERR599098,1.6,0.06089967825481985,52.0
72,,,,,ERR599102,1.6,1.3435580471707822,38.0
73,,,,,ERR599104,3.0,21.714430751489363,85.0
74,,,,,ERR599109,1.6,0.03854633743880095,38.0
75,,,,,ERR599113,3.0,1.6077829557321082,100.0
76,,,,,ERR599169,3.0,0.4063927567444942,100.0
77,,,,,ERR599176,3.0,40.655070498875645,85.0
78,,,,,ERR598943,3.0,0.0376766384420921,102.0
79,,,,,ERR598945,3.0,0.05137368877007639,84.0
80,,,,,ERR598952,3.0,0.07306647119924291,109.0
81,,,,,ERR598953,3.0,1.0176195309681342,100.0
82,,,,,ERR598956,3.0,0.08038120949364781,123.0
83,,,,,ERR598976,3.0,0.11662494069257312,151.0
84,,,,,ERR598977,1.6,0.07904645627424725,41.0
85,,,,,ERR598988,3.0,0.08263328138867543,124.0
86,,,,,ERR598999,3.0,0.3935862614063982,122.0
87,,,,,ERR599004,3.0,0.4779467131126592,138.0
88,,,,,ERR599010,3.0,0.9009429719616036,76.0
89,,,,,ERR599011,1.6,0.15024155837755945,41.0
90,,,,,ERR599015,3.0,0.7562776718848986,137.0
91,,,,,ERR599016,1.6,0.18765652606767294,52.0
92,,,,,ERR599022,3.0,0.14037020395369526,78.0
93,,,,,ERR599027,3.0,0.15699088249284776,82.0
94,,,,,ERR599031,1.6,0.0614468886582992,37.0
95,,,,,ERR599035,3.0,0.10734184400299633,82.0
96,,,,,ERR599067,3.0,0.6734158126113791,109.0
97,,,,,ERR599098,1.6,0.18269903476445956,52.0
98,,,,,ERR599102,1.6,0.03951641315208182,38.0
99,,,,,ERR599104,3.0,0.05539395599869736,85.0
100,,,,,ERR599109,1.6,0.0,38.0
101,,,,,ERR599113,3.0,0.2679638259553513,100.0
102,,,,,ERR599169,3.0,0.09030950149877648,100.0
103,,,,,ERR599176,3.0,0.050566008083178654,85.0
104,,,,,ERR598943,3.0,78.93255753618296,102.0
105,,,,,ERR598945,3.0,32.673666057768585,84.0
106,,,,,ERR598952,3.0,91.99068723984684,109.0
107,,,,,ERR598953,3.0,152.60052883142976,100.0
108,,,,,ERR598956,3.0,129.69508151800076,123.0
109,,,,,ERR598976,3.0,75.56324282372967,151.0
110,,,,,ERR598977,1.6,69.52135829320046,41.0
111,,,,,ERR598988,3.0,102.91975196959524,124.0
112,,,,,ERR598999,3.0,135.53679620067604,122.0
113,,,,,ERR599004,3.0,112.36092728266699,138.0
114,,,,,ERR599010,3.0,25.877084250230503,76.0
115,,,,,ERR599011,1.6,75.42126230553484,41.0
116,,,,,ERR599015,3.0,99.79263946633591,137.0
117,,,,,ERR599016,1.6,84.5392649934867,52.0
118,,,,,ERR599022,3.0,55.86734117357071,78.0
119,,,,,ERR599027,3.0,89.48480302092321,82.0
120,,,,,ERR599031,1.6,91.49441721220751,37.0
121,,,,,ERR599035,3.0,55.227378739541614,82.0
122,,,,,ERR599067,3.0,154.1086186552964,109.0
123,,,,,ERR599098,1.6,55.053309142357136,52.0
124,,,,,ERR599102,1.6,94.30591998744326,38.0
125,,,,,ERR599104,3.0,72.89844609428572,85.0
126,,,,,ERR599109,1.6,112.32402729666596,38.0
127,,,,,ERR599113,3.0,109.19525907680568,100.0
128,,,,,ERR599169,3.0,114.01574564220532,100.0
129,,,,,ERR599176,3.0,68.16297889612483,85.0
130,,,,,ERR598943,3.0,10.511782125343696,102.0
131,,,,,ERR598945,3.0,2.4145633721935904,84.0
132,,,,,ERR598952,3.0,11.398369507081895,109.0
133,,,,,ERR598953,3.0,5.172899282421348,100.0
134,,,,,ERR598956,3.0,1.2057181424047172,123.0
135,,,,,ERR598976,3.0,8.05683965284526,151.0
136,,,,,ERR598977,1.6,2.7271027414615303,41.0
137,,,,,ERR598988,3.0,4.668780398460163,124.0
138,,,,,ERR598999,3.0,2.755103829844788,122.0
139,,,,,ERR599004,3.0,5.822259959736031,138.0
140,,,,,ERR599010,3.0,2.8029336905472118,76.0
141,,,,,ERR599011,1.6,5.458776621051326,41.0
142,,,,,ERR599015,3.0,5.437996593077128,137.0
143,,,,,ERR599016,1.6,4.9728979407933345,52.0
144,,,,,ERR599022,3.0,4.772586934425638,78.0
145,,,,,ERR599027,3.0,4.65739618062115,82.0
146,,,,,ERR599031,1.6,0.614468886582992,37.0
147,,,,,ERR599035,3.0,2.7103815610756574,82.0
148,,,,,ERR599067,3.0,4.351302173796603,109.0
149,,,,,ERR599098,1.6,6.394466216756084,52.0
150,,,,,ERR599102,1.6,5.4730232215633325,38.0
151,,,,,ERR599104,3.0,0.4985456039882762,85.0
152,,,,,ERR599109,1.6,0.732380411337218,38.0
153,,,,,ERR599113,3.0,5.7612222580400525,100.0
154,,,,,ERR599169,3.0,14.67529399355118,100.0
155,,,,,ERR599176,3.0,0.6573581050813225,85.0
156,,,,,ERR598943,3.0,0.0,102.0
157,,,,,ERR598945,3.0,0.0,84.0
158,,,,,ERR598952,3.0,0.0,109.0
159,,,,,ERR598953,3.0,0.2544048827420335,100.0
160,,,,,ERR598956,3.0,0.08038120949364781,123.0
161,,,,,ERR598976,3.0,0.20409364621200302,151.0
162,,,,,ERR598977,1.6,0.0,41.0
163,,,,,ERR598988,3.0,0.0,124.0
164,,,,,ERR598999,3.0,0.03578056921876347,122.0
165,,,,,ERR599004,3.0,0.0,138.0
166,,,,,ERR599010,3.0,0.2002095493248008,76.0
167,,,,,ERR599011,1.6,0.050080519459186484,41.0
168,,,,,ERR599015,3.0,0.03601322247070945,137.0
169,,,,,ERR599016,1.6,0.09382826303383647,52.0
170,,,,,ERR599022,3.0,0.7018510197684762,78.0
171,,,,,ERR599027,3.0,0.0,82.0
172,,,,,ERR599031,1.6,0.0,37.0
173,,,,,ERR599035,3.0,0.0,82.0
174,,,,,ERR599067,3.0,0.3108072981283288,109.0
175,,,,,ERR599098,1.6,0.06089967825481985,52.0
176,,,,,ERR599102,1.6,0.0,38.0
177,,,,,ERR599104,3.0,0.0,85.0
178,,,,,ERR599109,1.6,0.0,38.0
179,,,,,ERR599113,3.0,0.06699095648883784,100.0
180,,,,,ERR599169,3.0,0.0,100.0
181,,,,,ERR599176,3.0,0.0,85.0
182,,,,,ERR598943,3.0,0.0,102.0
183,,,,,ERR598945,3.0,0.0,84.0
184,,,,,ERR598952,3.0,0.0,109.0
185,,,,,ERR598953,3.0,0.0,100.0
186,,,,,ERR598956,3.0,0.0,123.0
187,,,,,ERR598976,3.0,0.0,151.0
188,,,,,ERR598977,1.6,0.0,41.0
189,,,,,ERR598988,3.0,0.0,124.0
190,,,,,ERR598999,3.0,0.0,122.0
191,,,,,ERR599004,3.0,0.0,138.0
192,,,,,ERR599010,3.0,0.0,76.0
193,,,,,ERR599011,1.6,0.0,41.0
194,,,,,ERR599015,3.0,0.0,137.0
195,,,,,ERR599016,1.6,0.0,52.0
196,,,,,ERR599022,3.0,0.0,78.0
197,,,,,ERR599027,3.0,0.0,82.0
198,,,,,ERR599031,1.6,0.0,37.0
199,,,,,ERR599035,3.0,0.0,82.0
200,,,,,ERR599067,3.0,0.0,109.0
201,,,,,ERR599098,1.6,0.0,52.0
202,,,,,ERR599102,1.6,0.0,38.0
203,,,,,ERR599104,3.0,0.0,85.0
204,,,,,ERR599109,1.6,0.0,38.0
205,,,,,ERR599113,3.0,0.0,100.0
206,,,,,ERR599169,3.0,0.0,100.0
207,,,,,ERR599176,3.0,0.0,85.0
