,Dataset,Sample_ID,Enzyme,Number_of_transcripts,Latitude_deg_N,Longitude_deg_E,Sampling_depth_m,Depth_zone,Size_fraction_lower_threshold_micrometre,Size_fraction_upper_threshold_micrometre,Ocean_and_sea_regions,Marine_pelagic_biomes _Longhurst_2007,Total_transcripts_per_million_sequences,Reads_per_Kb_per_million_mapped_reads
121,Tara_Oceans,ERR599035,dddD,179,-47.1863,-58.2902,5,SRF,0.22,3.0,SAO,FKLD,4.803547519134086,1.9361336231898774
122,Tara_Oceans,ERR599067,dddD,36,2.0649,-84.5546,380,MES,0.22,3.0,NPO,CHIL,1.864843788769973,0.7516500559330805
123,Tara_Oceans,ERR599098,dddD,7,-16.957,53.9801,5,SRF,0.22,1.6,IO,ISSG,0.4262977477837389,0.17182496887696044
124,Tara_Oceans,ERR599102,dddD,4,19.0393,64.4913,5,SRF,0.22,1.6,IO,MONS,0.07903282630416364,0.03185523027173061
125,Tara_Oceans,ERR599104,dddD,80,-62.2231,-49.2139,90,DCM,0.22,3.0,SO,ANTA,4.431516479895788,1.7861815719047918
126,Tara_Oceans,ERR599109,dddD,2,19.0351,64.5638,340,MES,0.22,1.6,IO,MONS,0.0770926748776019,0.031073226472229702
127,Tara_Oceans,ERR599113,dddD,3,-12.9723,-96.0122,50,DCM,0.22,3.0,SPO,SPSG,0.2009728694665135,0.08100478414611588
128,Tara_Oceans,ERR599169,dddD,7,-13.0023,-95.9759,5,SRF,0.22,3.0,SPO,SPSG,0.31608325524571773,0.1274015539079878
129,Tara_Oceans,ERR599176,dddD,27,-62.0385,-49.528999999999996,5,SRF,0.22,3.0,SO,ANTA,1.3652822182458237,0.5502951302885223
130,Tara_Oceans,ERR598943,dddK,81,-5.2529,-85.1545,5,SRF,0.22,3.0,SPO,PEOD,3.05180771380946,4.036782690224153
131,Tara_Oceans,ERR598945,dddK,380,-60.2287,-60.6476,5,SRF,0.22,3.0,SO,ANTA,19.52200173262903,25.822753614588663
132,Tara_Oceans,ERR598952,dddK,22,2.0299,-84.5546,30,DCM,0.22,3.0,NPO,CHIL,1.607462366383344,2.12627297140654
133,Tara_Oceans,ERR598953,dddK,5,-12.9794,-96.0232,177,DCM,0.22,3.0,SPO,SPSG,0.21200406895169457,0.2804286626345166
134,Tara_Oceans,ERR598956,dddK,1,-8.9109,-140.2845,150,MIX,0.22,3.0,SPO,SPSG,0.040190604746823906,0.05316217559103691
135,Tara_Oceans,ERR598976,dddK,448,36.1715,-29.023000000000003,5,SRF,0.22,3.0,NAO,NAST-E,4.3539977858560635,5.759256330497438
136,Tara_Oceans,ERR598977,dddK,8,14.5536,70.0128,60,DCM,0.22,1.6,IO,MONS,0.316185825096989,0.4182352183822606
137,Tara_Oceans,ERR598988,dddK,12,-9.0714,-140.5973,120,MIX,0.22,3.0,SPO,SPSG,0.49579968833205257,0.6558196935609162
138,Tara_Oceans,ERR598999,dddK,1,-8.9729,-139.2393,600,MES,0.22,3.0,SPO,SPSG,0.03578056921876347,0.04732879526291464
139,Tara_Oceans,ERR599004,dddK,1,6.3559,-103.0598,450,MES,0.22,3.0,NPO,PNEC,0.04344970119205993,0.057473149724947
140,Tara_Oceans,ERR599010,dddK,8,-20.9354,-35.1803,5,SRF,0.22,3.0,SAO,SATL,0.4004190986496016,0.5296548923936529
141,Tara_Oceans,ERR599011,dddK,0,14.6059,69.9776,5,SRF,0.22,1.6,IO,MONS,0.0,0.0
142,Tara_Oceans,ERR599015,dddK,3,14.2025,-116.6433,375,MES,0.22,3.0,NPO,PNEC,0.10803966741212837,0.14290961297900578
143,Tara_Oceans,ERR599016,dddK,15,-16.9534,53.9601,75,DCM,0.22,1.6,IO,ISSG,0.7037119727537736,0.9308359427959968
144,Tara_Oceans,ERR599022,dddK,26,-30.1367,-43.2899,5,SRF,0.22,3.0,SAO,SATL,1.216541767598692,1.6091822322734022
145,Tara_Oceans,ERR599027,dddK,540,-47.2007,-57.9446,40,DCM,0.22,3.0,SAO,FKLD,28.258358848712597,37.378781545916134
146,Tara_Oceans,ERR599031,dddK,1,20.8457,63.5851,600,MES,0.22,1.6,IO,ARAB,0.0614468886582992,0.08127895325171852
147,Tara_Oceans,ERR599035,dddK,774,-47.1863,-58.2902,5,SRF,0.22,3.0,SAO,FKLD,20.77064681457979,27.47440054838597
148,Tara_Oceans,ERR599067,dddK,0,2.0649,-84.5546,380,MES,0.22,3.0,NPO,CHIL,0.0,0.0
149,Tara_Oceans,ERR599098,dddK,1,-16.957,53.9801,5,SRF,0.22,1.6,IO,ISSG,0.060899678254819845,0.08055512996669292
150,Tara_Oceans,ERR599102,dddK,68,19.0393,64.4913,5,SRF,0.22,1.6,IO,MONS,1.343558047170782,1.777193184088336
151,Tara_Oceans,ERR599104,dddK,392,-62.2231,-49.2139,90,DCM,0.22,3.0,SO,ANTA,21.714430751489363,28.722791999324553
152,Tara_Oceans,ERR599109,dddK,1,19.0351,64.5638,340,MES,0.22,1.6,IO,MONS,0.03854633743880095,0.050987218834392785
153,Tara_Oceans,ERR599113,dddK,24,-12.9723,-96.0122,50,DCM,0.22,3.0,SPO,SPSG,1.607782955732108,2.1266970313916773
154,Tara_Oceans,ERR599169,dddK,9,-13.0023,-95.9759,5,SRF,0.22,3.0,SPO,SPSG,0.4063927567444942,0.5375565565403362
155,Tara_Oceans,ERR599176,dddK,804,-62.0385,-49.528999999999996,5,SRF,0.22,3.0,SO,ANTA,40.65507049887564,53.77654827893603
156,Tara_Oceans,ERR598943,dddL,1,-5.2529,-85.1545,5,SRF,0.22,3.0,SPO,PEOD,0.0376766384420921,0.05606642625311324
157,Tara_Oceans,ERR598945,dddL,1,-60.2287,-60.6476,5,SRF,0.22,3.0,SO,ANTA,0.051373688770076385,0.07644894162213747
158,Tara_Oceans,ERR598952,dddL,1,2.0299,-84.5546,30,DCM,0.22,3.0,NPO,CHIL,0.07306647119924291,0.10872986785601624
159,Tara_Oceans,ERR598953,dddL,24,-12.9794,-96.0232,177,DCM,0.22,3.0,SPO,SPSG,1.017619530968134,1.51431477822639
160,Tara_Oceans,ERR598956,dddL,2,-8.9109,-140.2845,150,MIX,0.22,3.0,SPO,SPSG,0.08038120949364781,0.11961489507983306
161,Tara_Oceans,ERR598976,dddL,12,36.1715,-29.023000000000003,5,SRF,0.22,3.0,NAO,NAST-E,0.11662494069257313,0.17354901888775764
162,Tara_Oceans,ERR598977,dddL,2,14.5536,70.0128,60,DCM,0.22,1.6,IO,MONS,0.07904645627424725,0.11762865517001078
163,Tara_Oceans,ERR598988,dddL,2,-9.0714,-140.5973,120,MIX,0.22,3.0,SPO,SPSG,0.08263328138867543,0.12296619254267177
164,Tara_Oceans,ERR598999,dddL,11,-8.9729,-139.2393,600,MES,0.22,3.0,SPO,SPSG,0.3935862614063982,0.5856938413785687
165,Tara_Oceans,ERR599004,dddL,11,6.3559,-103.0598,450,MES,0.22,3.0,NPO,PNEC,0.47794671311265924,0.711230227846219
166,Tara_Oceans,ERR599010,dddL,18,-20.9354,-35.1803,5,SRF,0.22,3.0,SAO,SATL,0.9009429719616037,1.340688946371434
167,Tara_Oceans,ERR599011,dddL,3,14.6059,69.9776,5,SRF,0.22,1.6,IO,MONS,0.15024155837755945,0.22357374758565393
168,Tara_Oceans,ERR599015,dddL,21,14.2025,-116.6433,375,MES,0.22,3.0,NPO,PNEC,0.7562776718848986,1.1254132022096706
169,Tara_Oceans,ERR599016,dddL,4,-16.9534,53.9601,75,DCM,0.22,1.6,IO,ISSG,0.18765652606767297,0.27925078283879906
170,Tara_Oceans,ERR599022,dddL,3,-30.1367,-43.2899,5,SRF,0.22,3.0,SAO,SATL,0.14037020395369523,0.20888423207395124
