,Dataset,Sample_ID,Enzyme,Number_of_transcripts,Latitude_deg_N,Longitude_deg_E,Sampling_depth_m,Depth_zone,Size_fraction_lower_threshold_micrometre,Size_fraction_upper_threshold_micrometre,Ocean_and_sea_regions,Marine_pelagic_biomes _Longhurst_2007,Total_transcripts_per_million_sequences,Reads_per_Kb_per_million_mapped_reads
250,Tara_Oceans,ERR599031,dddY,0,20.8457,63.5851,600,MES,0.22,1.6,IO,ARAB,0.0,0.0
251,Tara_Oceans,ERR599035,dddY,0,-47.1863,-58.2902,5,SRF,0.22,3.0,SAO,FKLD,0.0,0.0
252,Tara_Oceans,ERR599067,dddY,6,2.0649,-84.5546,380,MES,0.22,3.0,NPO,CHIL,0.3108072981283288,0.2583601813203066
253,Tara_Oceans,ERR599098,dddY,1,-16.957,53.9801,5,SRF,0.22,1.6,IO,ISSG,0.060899678254819845,0.05062317394415615
254,Tara_Oceans,ERR599102,dddY,0,19.0393,64.4913,5,SRF,0.22,1.6,IO,MONS,0.0,0.0
255,Tara_Oceans,ERR599104,dddY,0,-62.2231,-49.2139,90,DCM,0.22,3.0,SO,ANTA,0.0,0.0
256,Tara_Oceans,ERR599109,dddY,0,19.0351,64.5638,340,MES,0.22,1.6,IO,MONS,0.0,0.0
257,Tara_Oceans,ERR599113,dddY,1,-12.9723,-96.0122,50,DCM,0.22,3.0,SPO,SPSG,0.06699095648883784,0.05568658062247534
258,Tara_Oceans,ERR599169,dddY,0,-13.0023,-95.9759,5,SRF,0.22,3.0,SPO,SPSG,0.0,0.0
259,Tara_Oceans,ERR599176,dddY,0,-62.0385,-49.528999999999996,5,SRF,0.22,3.0,SO,ANTA,0.0,0.0
260,Tara_Oceans,ERR598943,dddW,0,-5.2529,-85.1545,5,SRF,0.22,3.0,SPO,PEOD,0.0,0.0
261,Tara_Oceans,ERR598945,dddW,0,-60.2287,-60.6476,5,SRF,0.22,3.0,SO,ANTA,0.0,0.0
262,Tara_Oceans,ERR598952,dddW,0,2.0299,-84.5546,30,DCM,0.22,3.0,NPO,CHIL,0.0,0.0
263,Tara_Oceans,ERR598953,dddW,0,-12.9794,-96.0232,177,DCM,0.22,3.0,SPO,SPSG,0.0,0.0
264,Tara_Oceans,ERR598956,dddW,0,-8.9109,-140.2845,150,MIX,0.22,3.0,SPO,SPSG,0.0,0.0
265,Tara_Oceans,ERR598976,dddW,0,36.1715,-29.023000000000003,5,SRF,0.22,3.0,NAO,NAST-E,0.0,0.0
266,Tara_Oceans,ERR598977,dddW,0,14.5536,70.0128,60,DCM,0.22,1.6,IO,MONS,0.0,0.0
267,Tara_Oceans,ERR598988,dddW,0,-9.0714,-140.5973,120,MIX,0.22,3.0,SPO,SPSG,0.0,0.0
268,Tara_Oceans,ERR598999,dddW,0,-8.9729,-139.2393,600,MES,0.22,3.0,SPO,SPSG,0.0,0.0
269,Tara_Oceans,ERR599004,dddW,0,6.3559,-103.0598,450,MES,0.22,3.0,NPO,PNEC,0.0,0.0
270,Tara_Oceans,ERR599010,dddW,0,-20.9354,-35.1803,5,SRF,0.22,3.0,SAO,SATL,0.0,0.0
271,Tara_Oceans,ERR599011,dddW,0,14.6059,69.9776,5,SRF,0.22,1.6,IO,MONS,0.0,0.0
272,Tara_Oceans,ERR599015,dddW,0,14.2025,-116.6433,375,MES,0.22,3.0,NPO,PNEC,0.0,0.0
273,Tara_Oceans,ERR599016,dddW,0,-16.9534,53.9601,75,DCM,0.22,1.6,IO,ISSG,0.0,0.0
274,Tara_Oceans,ERR599022,dddW,0,-30.1367,-43.2899,5,SRF,0.22,3.0,SAO,SATL,0.0,0.0
275,Tara_Oceans,ERR599027,dddW,0,-47.2007,-57.9446,40,DCM,0.22,3.0,SAO,FKLD,0.0,0.0
276,Tara_Oceans,ERR599031,dddW,0,20.8457,63.5851,600,MES,0.22,1.6,IO,ARAB,0.0,0.0
277,Tara_Oceans,ERR599035,dddW,0,-47.1863,-58.2902,5,SRF,0.22,3.0,SAO,FKLD,0.0,0.0
278,Tara_Oceans,ERR599067,dddW,0,2.0649,-84.5546,380,MES,0.22,3.0,NPO,CHIL,0.0,0.0
279,Tara_Oceans,ERR599098,dddW,0,-16.957,53.9801,5,SRF,0.22,1.6,IO,ISSG,0.0,0.0
280,Tara_Oceans,ERR599102,dddW,0,19.0393,64.4913,5,SRF,0.22,1.6,IO,MONS,0.0,0.0
281,Tara_Oceans,ERR599104,dddW,0,-62.2231,-49.2139,90,DCM,0.22,3.0,SO,ANTA,0.0,0.0
282,Tara_Oceans,ERR599109,dddW,0,19.0351,64.5638,340,MES,0.22,1.6,IO,MONS,0.0,0.0
283,Tara_Oceans,ERR599113,dddW,0,-12.9723,-96.0122,50,DCM,0.22,3.0,SPO,SPSG,0.0,0.0
284,Tara_Oceans,ERR599169,dddW,0,-13.0023,-95.9759,5,SRF,0.22,3.0,SPO,SPSG,0.0,0.0
285,Tara_Oceans,ERR599176,dddW,0,-62.0385,-49.528999999999996,5,SRF,0.22,3.0,SO,ANTA,0.0,0.0
