,Experiment,Station,Depth_zone,Marine_pelagic_biomes _Longhurst_2007,Latitude_deg_N,Longitude_deg_E,Sampling_depth_m,Gene,Percentage_of_genome_equivalents
262,ERX555944,TARA_098,MES,SPSG,-25.8076,-111.6906,488,dmdA,12.52
37,ERX555944,TARA_098,MES,SPSG,-25.8076,-111.6906,488,recA_hits,6249.0
1388,ERX555945,TARA_057,SRF,EAFR,-17.0248,42.7401,5,dddD,1.01
488,ERX555945,TARA_057,SRF,EAFR,-17.0248,42.7401,5,dddK,0.0
1613,ERX555945,TARA_057,SRF,EAFR,-17.0248,42.7401,5,dddL,0.0
713,ERX555945,TARA_057,SRF,EAFR,-17.0248,42.7401,5,dddP,2.9
1163,ERX555945,TARA_057,SRF,EAFR,-17.0248,42.7401,5,dddQ,0.0
938,ERX555945,TARA_057,SRF,EAFR,-17.0248,42.7401,5,dddW,0.0
263,ERX555945,TARA_057,SRF,EAFR,-17.0248,42.7401,5,dmdA,18.56
38,ERX555945,TARA_057,SRF,EAFR,-17.0248,42.7401,5,recA_hits,12301.0
1389,ERX555946,TARA_033,SRF,REDS,21.9467,38.2517,5,dddD,3.03
489,ERX555946,TARA_033,SRF,REDS,21.9467,38.2517,5,dddK,0.0
1614,ERX555946,TARA_033,SRF,REDS,21.9467,38.2517,5,dddL,0.0
714,ERX555946,TARA_033,SRF,REDS,21.9467,38.2517,5,dddP,3.8
1164,ERX555946,TARA_033,SRF,REDS,21.9467,38.2517,5,dddQ,0.0
939,ERX555946,TARA_033,SRF,REDS,21.9467,38.2517,5,dddW,0.0
264,ERX555946,TARA_033,SRF,REDS,21.9467,38.2517,5,dmdA,21.5
39,ERX555946,TARA_033,SRF,REDS,21.9467,38.2517,5,recA_hits,2792.0
1390,ERX555947,TARA_122,SRF,SPSG,-8.9971,-139.1963,5,dddD,1.79
490,ERX555947,TARA_122,SRF,SPSG,-8.9971,-139.1963,5,dddK,0.37
1615,ERX555947,TARA_122,SRF,SPSG,-8.9971,-139.1963,5,dddL,0.0
715,ERX555947,TARA_122,SRF,SPSG,-8.9971,-139.1963,5,dddP,1.63
1165,ERX555947,TARA_122,SRF,SPSG,-8.9971,-139.1963,5,dddQ,0.0
940,ERX555947,TARA_122,SRF,SPSG,-8.9971,-139.1963,5,dddW,0.0
265,ERX555947,TARA_122,SRF,SPSG,-8.9971,-139.1963,5,dmdA,32.23
40,ERX555947,TARA_122,SRF,SPSG,-8.9971,-139.1963,5,recA_hits,8106.0
1391,ERX555948,TARA_064,DCM,EAFR,-29.5333,37.9117,65,dddD,1.24
491,ERX555948,TARA_064,DCM,EAFR,-29.5333,37.9117,65,dddK,0.0
1616,ERX555948,TARA_064,DCM,EAFR,-29.5333,37.9117,65,dddL,0.0
716,ERX555948,TARA_064,DCM,EAFR,-29.5333,37.9117,65,dddP,0.63
1166,ERX555948,TARA_064,DCM,EAFR,-29.5333,37.9117,65,dddQ,0.0
941,ERX555948,TARA_064,DCM,EAFR,-29.5333,37.9117,65,dddW,0.0
266,ERX555948,TARA_064,DCM,EAFR,-29.5333,37.9117,65,dmdA,24.42
41,ERX555948,TARA_064,DCM,EAFR,-29.5333,37.9117,65,recA_hits,1517.0
1392,ERX555949,TARA_100,DCM,SPSG,-12.9794,-96.0232,177,dddD,8.29
492,ERX555949,TARA_100,DCM,SPSG,-12.9794,-96.0232,177,dddK,1.2
1617,ERX555949,TARA_100,DCM,SPSG,-12.9794,-96.0232,177,dddL,0.0
717,ERX555949,TARA_100,DCM,SPSG,-12.9794,-96.0232,177,dddP,3.08
1167,ERX555949,TARA_100,DCM,SPSG,-12.9794,-96.0232,177,dddQ,0.0
942,ERX555949,TARA_100,DCM,SPSG,-12.9794,-96.0232,177,dddW,0.0
267,ERX555949,TARA_100,DCM,SPSG,-12.9794,-96.0232,177,dmdA,13.51
42,ERX555949,TARA_100,DCM,SPSG,-12.9794,-96.0232,177,recA_hits,8757.0
1393,ERX555952,TARA_025,SRF,MEDI,39.3888,19.3905,5,dddD,4.77
493,ERX555952,TARA_025,SRF,MEDI,39.3888,19.3905,5,dddK,2.13
1618,ERX555952,TARA_025,SRF,MEDI,39.3888,19.3905,5,dddL,0.0
718,ERX555952,TARA_025,SRF,MEDI,39.3888,19.3905,5,dddP,1.44
1168,ERX555952,TARA_025,SRF,MEDI,39.3888,19.3905,5,dddQ,0.0
943,ERX555952,TARA_025,SRF,MEDI,39.3888,19.3905,5,dddW,0.72
268,ERX555952,TARA_025,SRF,MEDI,39.3888,19.3905,5,dmdA,26.48
43,ERX555952,TARA_025,SRF,MEDI,39.3888,19.3905,5,recA_hits,14827.0
1394,ERX555953,TARA_142,MES,CARB,25.6236,-88.45,640,dddD,0.83
494,ERX555953,TARA_142,MES,CARB,25.6236,-88.45,640,dddK,0.0
1619,ERX555953,TARA_142,MES,CARB,25.6236,-88.45,640,dddL,0.0
719,ERX555953,TARA_142,MES,CARB,25.6236,-88.45,640,dddP,3.05
1169,ERX555953,TARA_142,MES,CARB,25.6236,-88.45,640,dddQ,0.0
944,ERX555953,TARA_142,MES,CARB,25.6236,-88.45,640,dddW,0.0
269,ERX555953,TARA_142,MES,CARB,25.6236,-88.45,640,dmdA,9.94
44,ERX555953,TARA_142,MES,CARB,25.6236,-88.45,640,recA_hits,5989.0
1395,ERX555954,TARA_102,SRF,PEOD,-5.2529,-85.1545,5,dddD,1.49
495,ERX555954,TARA_102,SRF,PEOD,-5.2529,-85.1545,5,dddK,7.59
1620,ERX555954,TARA_102,SRF,PEOD,-5.2529,-85.1545,5,dddL,0.0
720,ERX555954,TARA_102,SRF,PEOD,-5.2529,-85.1545,5,dddP,2.02
1170,ERX555954,TARA_102,SRF,PEOD,-5.2529,-85.1545,5,dddQ,1.22
945,ERX555954,TARA_102,SRF,PEOD,-5.2529,-85.1545,5,dddW,0.0
270,ERX555954,TARA_102,SRF,PEOD,-5.2529,-85.1545,5,dmdA,15.01
45,ERX555954,TARA_102,SRF,PEOD,-5.2529,-85.1545,5,recA_hits,11810.0
1396,ERX555956,TARA_034,DCM,REDS,18.4417,39.8567,60,dddD,0.0
496,ERX555956,TARA_034,DCM,REDS,18.4417,39.8567,60,dddK,0.0
1621,ERX555956,TARA_034,DCM,REDS,18.4417,39.8567,60,dddL,0.0
721,ERX555956,TARA_034,DCM,REDS,18.4417,39.8567,60,dddP,0.43
1171,ERX555956,TARA_034,DCM,REDS,18.4417,39.8567,60,dddQ,0.0
946,ERX555956,TARA_034,DCM,REDS,18.4417,39.8567,60,dddW,0.0
271,ERX555956,TARA_034,DCM,REDS,18.4417,39.8567,60,dmdA,8.54
46,ERX555956,TARA_034,DCM,REDS,18.4417,39.8567,60,recA_hits,1283.0
1397,ERX555957,TARA_151,SRF,NAST-E,36.1715,-29.023000000000003,5,dddD,3.38
497,ERX555957,TARA_151,SRF,NAST-E,36.1715,-29.023000000000003,5,dddK,9.27
1622,ERX555957,TARA_151,SRF,NAST-E,36.1715,-29.023000000000003,5,dddL,0.0
722,ERX555957,TARA_151,SRF,NAST-E,36.1715,-29.023000000000003,5,dddP,0.71
1172,ERX555957,TARA_151,SRF,NAST-E,36.1715,-29.023000000000003,5,dddQ,0.55
947,ERX555957,TARA_151,SRF,NAST-E,36.1715,-29.023000000000003,5,dddW,0.0
272,ERX555957,TARA_151,SRF,NAST-E,36.1715,-29.023000000000003,5,dmdA,14.96
47,ERX555957,TARA_151,SRF,NAST-E,36.1715,-29.023000000000003,5,recA_hits,15732.0
1398,ERX555958,TARA_066,SRF,BENG,-34.9449,17.9189,5,dddD,4.59
498,ERX555958,TARA_066,SRF,BENG,-34.9449,17.9189,5,dddK,11.34
1623,ERX555958,TARA_066,SRF,BENG,-34.9449,17.9189,5,dddL,0.0
723,ERX555958,TARA_066,SRF,BENG,-34.9449,17.9189,5,dddP,1.64
1173,ERX555958,TARA_066,SRF,BENG,-34.9449,17.9189,5,dddQ,0.0
948,ERX555958,TARA_066,SRF,BENG,-34.9449,17.9189,5,dddW,0.0
273,ERX555958,TARA_066,SRF,BENG,-34.9449,17.9189,5,dmdA,20.77
48,ERX555958,TARA_066,SRF,BENG,-34.9449,17.9189,5,recA_hits,3143.0
1399,ERX555959,TARA_076,DCM,SATL,-21.0292,-35.3498,150,dddD,0.0
499,ERX555959,TARA_076,DCM,SATL,-21.0292,-35.3498,150,dddK,0.54
1624,ERX555959,TARA_076,DCM,SATL,-21.0292,-35.3498,150,dddL,0.0
724,ERX555959,TARA_076,DCM,SATL,-21.0292,-35.3498,150,dddP,0.0
1174,ERX555959,TARA_076,DCM,SATL,-21.0292,-35.3498,150,dddQ,0.0
949,ERX555959,TARA_076,DCM,SATL,-21.0292,-35.3498,150,dddW,0.0
274,ERX555959,TARA_076,DCM,SATL,-21.0292,-35.3498,150,dmdA,3.06
49,ERX555959,TARA_076,DCM,SATL,-21.0292,-35.3498,150,recA_hits,7005.0
1400,ERX555960,TARA_125,SRF,SPSG,-8.9111,-142.5571,5,dddD,2.4
500,ERX555960,TARA_125,SRF,SPSG,-8.9111,-142.5571,5,dddK,0.0
1625,ERX555960,TARA_125,SRF,SPSG,-8.9111,-142.5571,5,dddL,0.0
725,ERX555960,TARA_125,SRF,SPSG,-8.9111,-142.5571,5,dddP,0.54
1175,ERX555960,TARA_125,SRF,SPSG,-8.9111,-142.5571,5,dddQ,0.0
950,ERX555960,TARA_125,SRF,SPSG,-8.9111,-142.5571,5,dddW,0.0
275,ERX555960,TARA_125,SRF,SPSG,-8.9111,-142.5571,5,dmdA,20.68
50,ERX555960,TARA_125,SRF,SPSG,-8.9111,-142.5571,5,recA_hits,2513.0
1401,ERX555961,TARA_138,DCM,PNEC,6.3378,-102.9538,60,dddD,1.83
501,ERX555961,TARA_138,DCM,PNEC,6.3378,-102.9538,60,dddK,2.47
1626,ERX555961,TARA_138,DCM,PNEC,6.3378,-102.9538,60,dddL,0.0
726,ERX555961,TARA_138,DCM,PNEC,6.3378,-102.9538,60,dddP,1.13
1176,ERX555961,TARA_138,DCM,PNEC,6.3378,-102.9538,60,dddQ,0.0
951,ERX555961,TARA_138,DCM,PNEC,6.3378,-102.9538,60,dddW,0.0
276,ERX555961,TARA_138,DCM,PNEC,6.3378,-102.9538,60,dmdA,11.24
51,ERX555961,TARA_138,DCM,PNEC,6.3378,-102.9538,60,recA_hits,15656.0
1402,ERX555962,TARA_018,DCM,MEDI,35.7528,14.2765,60,dddD,1.49
502,ERX555962,TARA_018,DCM,MEDI,35.7528,14.2765,60,dddK,0.97
1627,ERX555962,TARA_018,DCM,MEDI,35.7528,14.2765,60,dddL,0.0
727,ERX555962,TARA_018,DCM,MEDI,35.7528,14.2765,60,dddP,0.08
1177,ERX555962,TARA_018,DCM,MEDI,35.7528,14.2765,60,dddQ,0.0
952,ERX555962,TARA_018,DCM,MEDI,35.7528,14.2765,60,dddW,0.0
277,ERX555962,TARA_018,DCM,MEDI,35.7528,14.2765,60,dmdA,17.22
52,ERX555962,TARA_018,DCM,MEDI,35.7528,14.2765,60,recA_hits,17758.0
1403,ERX555963,TARA_109,SRF,CHIL,1.9928,-84.5766,5,dddD,4.44
503,ERX555963,TARA_109,SRF,CHIL,1.9928,-84.5766,5,dddK,1.8
1628,ERX555963,TARA_109,SRF,CHIL,1.9928,-84.5766,5,dddL,0.0
728,ERX555963,TARA_109,SRF,CHIL,1.9928,-84.5766,5,dddP,3.83
1178,ERX555963,TARA_109,SRF,CHIL,1.9928,-84.5766,5,dddQ,0.51
953,ERX555963,TARA_109,SRF,CHIL,1.9928,-84.5766,5,dddW,0.0
278,ERX555963,TARA_109,SRF,CHIL,1.9928,-84.5766,5,dmdA,41.89
53,ERX555963,TARA_109,SRF,CHIL,1.9928,-84.5766,5,recA_hits,8230.0
1404,ERX555964,TARA_004,SRF,NAST-E,36.5533,-6.5669,5,dddD,5.17
504,ERX555964,TARA_004,SRF,NAST-E,36.5533,-6.5669,5,dddK,6.05
1629,ERX555964,TARA_004,SRF,NAST-E,36.5533,-6.5669,5,dddL,0.0
729,ERX555964,TARA_004,SRF,NAST-E,36.5533,-6.5669,5,dddP,0.92
1179,ERX555964,TARA_004,SRF,NAST-E,36.5533,-6.5669,5,dddQ,0.0
954,ERX555964,TARA_004,SRF,NAST-E,36.5533,-6.5669,5,dddW,0.0
279,ERX555964,TARA_004,SRF,NAST-E,36.5533,-6.5669,5,dmdA,15.01
54,ERX555964,TARA_004,SRF,NAST-E,36.5533,-6.5669,5,recA_hits,15975.0
1405,ERX555965,TARA_093,SRF,CHIL,-34.0614,-73.1066,5,dddD,3.7
505,ERX555965,TARA_093,SRF,CHIL,-34.0614,-73.1066,5,dddK,29.96
1630,ERX555965,TARA_093,SRF,CHIL,-34.0614,-73.1066,5,dddL,0.0
730,ERX555965,TARA_093,SRF,CHIL,-34.0614,-73.1066,5,dddP,2.17
1180,ERX555965,TARA_093,SRF,CHIL,-34.0614,-73.1066,5,dddQ,0.4
955,ERX555965,TARA_093,SRF,CHIL,-34.0614,-73.1066,5,dddW,0.0
280,ERX555965,TARA_093,SRF,CHIL,-34.0614,-73.1066,5,dmdA,21.93
55,ERX555965,TARA_093,SRF,CHIL,-34.0614,-73.1066,5,recA_hits,10011.0
1406,ERX555966,TARA_112,DCM,SPSG,-23.2189,-129.4997,155,dddD,1.05
506,ERX555966,TARA_112,DCM,SPSG,-23.2189,-129.4997,155,dddK,0.0
1631,ERX555966,TARA_112,DCM,SPSG,-23.2189,-129.4997,155,dddL,0.0
731,ERX555966,TARA_112,DCM,SPSG,-23.2189,-129.4997,155,dddP,0.08
1181,ERX555966,TARA_112,DCM,SPSG,-23.2189,-129.4997,155,dddQ,0.0
956,ERX555966,TARA_112,DCM,SPSG,-23.2189,-129.4997,155,dddW,0.0
281,ERX555966,TARA_112,DCM,SPSG,-23.2189,-129.4997,155,dmdA,13.36
56,ERX555966,TARA_112,DCM,SPSG,-23.2189,-129.4997,155,recA_hits,11070.0
1407,ERX555967,TARA_133,SRF,NPST,35.3671,-127.7422,5,dddD,2.82
507,ERX555967,TARA_133,SRF,NPST,35.3671,-127.7422,5,dddK,17.45
1632,ERX555967,TARA_133,SRF,NPST,35.3671,-127.7422,5,dddL,0.0
732,ERX555967,TARA_133,SRF,NPST,35.3671,-127.7422,5,dddP,1.12
1182,ERX555967,TARA_133,SRF,NPST,35.3671,-127.7422,5,dddQ,0.0
957,ERX555967,TARA_133,SRF,NPST,35.3671,-127.7422,5,dddW,0.0
282,ERX555967,TARA_133,SRF,NPST,35.3671,-127.7422,5,dmdA,15.17
57,ERX555967,TARA_133,SRF,NPST,35.3671,-127.7422,5,recA_hits,27160.0
1408,ERX555968,TARA_078,SRF,SATL,-30.1367,-43.2899,5,dddD,0.59
508,ERX555968,TARA_078,SRF,SATL,-30.1367,-43.2899,5,dddK,0.0
1633,ERX555968,TARA_078,SRF,SATL,-30.1367,-43.2899,5,dddL,0.0
733,ERX555968,TARA_078,SRF,SATL,-30.1367,-43.2899,5,dddP,0.0
1183,ERX555968,TARA_078,SRF,SATL,-30.1367,-43.2899,5,dddQ,0.0
958,ERX555968,TARA_078,SRF,SATL,-30.1367,-43.2899,5,dddW,0.0
283,ERX555968,TARA_078,SRF,SATL,-30.1367,-43.2899,5,dmdA,14.96
58,ERX555968,TARA_078,SRF,SATL,-30.1367,-43.2899,5,recA_hits,940.0
1409,ERX555969,TARA_068,MES,SATL,-31.0198,4.6685,700,dddD,4.32
509,ERX555969,TARA_068,MES,SATL,-31.0198,4.6685,700,dddK,0.0
1634,ERX555969,TARA_068,MES,SATL,-31.0198,4.6685,700,dddL,0.0
734,ERX555969,TARA_068,MES,SATL,-31.0198,4.6685,700,dddP,6.57
1184,ERX555969,TARA_068,MES,SATL,-31.0198,4.6685,700,dddQ,0.0
959,ERX555969,TARA_068,MES,SATL,-31.0198,4.6685,700,dddW,0.0
284,ERX555969,TARA_068,MES,SATL,-31.0198,4.6685,700,dmdA,16.13
59,ERX555969,TARA_068,MES,SATL,-31.0198,4.6685,700,recA_hits,6170.0
1410,ERX555970,TARA_065,SRF,EAFR,-35.1728,26.2868,5,dddD,1.69
510,ERX555970,TARA_065,SRF,EAFR,-35.1728,26.2868,5,dddK,0.0
1635,ERX555970,TARA_065,SRF,EAFR,-35.1728,26.2868,5,dddL,0.0
735,ERX555970,TARA_065,SRF,EAFR,-35.1728,26.2868,5,dddP,1.99
1185,ERX555970,TARA_065,SRF,EAFR,-35.1728,26.2868,5,dddQ,0.0
960,ERX555970,TARA_065,SRF,EAFR,-35.1728,26.2868,5,dddW,0.0
285,ERX555970,TARA_065,SRF,EAFR,-35.1728,26.2868,5,dmdA,24.11
60,ERX555970,TARA_065,SRF,EAFR,-35.1728,26.2868,5,recA_hits,1991.0
1411,ERX555971,TARA_056,SRF,EAFR,-15.3424,43.2965,5,dddD,1.36
511,ERX555971,TARA_056,SRF,EAFR,-15.3424,43.2965,5,dddK,0.0
1636,ERX555971,TARA_056,SRF,EAFR,-15.3424,43.2965,5,dddL,0.12
736,ERX555971,TARA_056,SRF,EAFR,-15.3424,43.2965,5,dddP,5.91
1186,ERX555971,TARA_056,SRF,EAFR,-15.3424,43.2965,5,dddQ,1.14
961,ERX555971,TARA_056,SRF,EAFR,-15.3424,43.2965,5,dddW,0.0
286,ERX555971,TARA_056,SRF,EAFR,-15.3424,43.2965,5,dmdA,42.99
61,ERX555971,TARA_056,SRF,EAFR,-15.3424,43.2965,5,recA_hits,6009.0
1412,ERX555972,TARA_065,MES,EAFR,-35.1889,26.2905,850,dddD,4.66
512,ERX555972,TARA_065,MES,EAFR,-35.1889,26.2905,850,dddK,0.0
1637,ERX555972,TARA_065,MES,EAFR,-35.1889,26.2905,850,dddL,0.0
737,ERX555972,TARA_065,MES,EAFR,-35.1889,26.2905,850,dddP,11.2
1187,ERX555972,TARA_065,MES,EAFR,-35.1889,26.2905,850,dddQ,0.0
962,ERX555972,TARA_065,MES,EAFR,-35.1889,26.2905,850,dddW,0.0
287,ERX555972,TARA_065,MES,EAFR,-35.1889,26.2905,850,dmdA,13.99
62,ERX555972,TARA_065,MES,EAFR,-35.1889,26.2905,850,recA_hits,714.0
1413,ERX555973,TARA_145,MES,GFST,39.2392,-70.0343,590,dddD,3.47
513,ERX555973,TARA_145,MES,GFST,39.2392,-70.0343,590,dddK,0.0
1638,ERX555973,TARA_145,MES,GFST,39.2392,-70.0343,590,dddL,0.0
738,ERX555973,TARA_145,MES,GFST,39.2392,-70.0343,590,dddP,2.56
1188,ERX555973,TARA_145,MES,GFST,39.2392,-70.0343,590,dddQ,0.0
963,ERX555973,TARA_145,MES,GFST,39.2392,-70.0343,590,dddW,0.0
288,ERX555973,TARA_145,MES,GFST,39.2392,-70.0343,590,dmdA,15.86
63,ERX555973,TARA_145,MES,GFST,39.2392,-70.0343,590,recA_hits,7955.0
1414,ERX555974,TARA_102,MES,PEOD,-5.261,-85.1678,480,dddD,4.73
514,ERX555974,TARA_102,MES,PEOD,-5.261,-85.1678,480,dddK,0.0
1639,ERX555974,TARA_102,MES,PEOD,-5.261,-85.1678,480,dddL,0.0
739,ERX555974,TARA_102,MES,PEOD,-5.261,-85.1678,480,dddP,4.85
1189,ERX555974,TARA_102,MES,PEOD,-5.261,-85.1678,480,dddQ,0.0
964,ERX555974,TARA_102,MES,PEOD,-5.261,-85.1678,480,dddW,0.0
289,ERX555974,TARA_102,MES,PEOD,-5.261,-85.1678,480,dmdA,9.06
64,ERX555974,TARA_102,MES,PEOD,-5.261,-85.1678,480,recA_hits,6783.0
1415,ERX555975,TARA_068,SRF,SATL,-31.0266,4.665,5,dddD,1.22
515,ERX555975,TARA_068,SRF,SATL,-31.0266,4.665,5,dddK,5.87
1640,ERX555975,TARA_068,SRF,SATL,-31.0266,4.665,5,dddL,0.0
740,ERX555975,TARA_068,SRF,SATL,-31.0266,4.665,5,dddP,0.42
1190,ERX555975,TARA_068,SRF,SATL,-31.0266,4.665,5,dddQ,0.0
965,ERX555975,TARA_068,SRF,SATL,-31.0266,4.665,5,dddW,0.0
290,ERX555975,TARA_068,SRF,SATL,-31.0266,4.665,5,dmdA,13.12
65,ERX555975,TARA_068,SRF,SATL,-31.0266,4.665,5,recA_hits,3037.0
1416,ERX555976,TARA_041,DCM,MONS,14.5536,70.0128,60,dddD,1.07
516,ERX555976,TARA_041,DCM,MONS,14.5536,70.0128,60,dddK,0.0
1641,ERX555976,TARA_041,DCM,MONS,14.5536,70.0128,60,dddL,0.0
741,ERX555976,TARA_041,DCM,MONS,14.5536,70.0128,60,dddP,0.86
1191,ERX555976,TARA_041,DCM,MONS,14.5536,70.0128,60,dddQ,0.0
966,ERX555976,TARA_041,DCM,MONS,14.5536,70.0128,60,dddW,0.0
291,ERX555976,TARA_041,DCM,MONS,14.5536,70.0128,60,dmdA,9.75
66,ERX555976,TARA_041,DCM,MONS,14.5536,70.0128,60,recA_hits,25597.0
1417,ERX555977,TARA_100,DCM,SPSG,-12.9794,-96.0232,177,dddD,2.04
517,ERX555977,TARA_100,DCM,SPSG,-12.9794,-96.0232,177,dddK,0.0
1642,ERX555977,TARA_100,DCM,SPSG,-12.9794,-96.0232,177,dddL,0.0
742,ERX555977,TARA_100,DCM,SPSG,-12.9794,-96.0232,177,dddP,3.71
1192,ERX555977,TARA_100,DCM,SPSG,-12.9794,-96.0232,177,dddQ,0.0
967,ERX555977,TARA_100,DCM,SPSG,-12.9794,-96.0232,177,dddW,0.0
292,ERX555977,TARA_100,DCM,SPSG,-12.9794,-96.0232,177,dmdA,13.23
67,ERX555977,TARA_100,DCM,SPSG,-12.9794,-96.0232,177,recA_hits,1173.0
1418,ERX555978,TARA_034,SRF,REDS,18.3967,39.875,5,dddD,3.96
518,ERX555978,TARA_034,SRF,REDS,18.3967,39.875,5,dddK,2.1
1643,ERX555978,TARA_034,SRF,REDS,18.3967,39.875,5,dddL,0.0
743,ERX555978,TARA_034,SRF,REDS,18.3967,39.875,5,dddP,2.03
1193,ERX555978,TARA_034,SRF,REDS,18.3967,39.875,5,dddQ,0.0
968,ERX555978,TARA_034,SRF,REDS,18.3967,39.875,5,dddW,0.0
293,ERX555978,TARA_034,SRF,REDS,18.3967,39.875,5,dmdA,28.57
68,ERX555978,TARA_034,SRF,REDS,18.3967,39.875,5,recA_hits,6420.0
1419,ERX555979,TARA_098,SRF,SPSG,-25.8051,-111.7202,5,dddD,2.58
519,ERX555979,TARA_098,SRF,SPSG,-25.8051,-111.7202,5,dddK,0.0
1644,ERX555979,TARA_098,SRF,SPSG,-25.8051,-111.7202,5,dddL,0.0
744,ERX555979,TARA_098,SRF,SPSG,-25.8051,-111.7202,5,dddP,0.0
1194,ERX555979,TARA_098,SRF,SPSG,-25.8051,-111.7202,5,dddQ,0.0
969,ERX555979,TARA_098,SRF,SPSG,-25.8051,-111.7202,5,dddW,0.0
294,ERX555979,TARA_098,SRF,SPSG,-25.8051,-111.7202,5,dmdA,76.15
69,ERX555979,TARA_098,SRF,SPSG,-25.8051,-111.7202,5,recA_hits,1094.0
1420,ERX555980,TARA_038,MES,MONS,19.0351,64.5638,340,dddD,4.17
520,ERX555980,TARA_038,MES,MONS,19.0351,64.5638,340,dddK,0.0
1645,ERX555980,TARA_038,MES,MONS,19.0351,64.5638,340,dddL,0.0
745,ERX555980,TARA_038,MES,MONS,19.0351,64.5638,340,dddP,4.0
1195,ERX555980,TARA_038,MES,MONS,19.0351,64.5638,340,dddQ,0.0
970,ERX555980,TARA_038,MES,MONS,19.0351,64.5638,340,dddW,0.0
295,ERX555980,TARA_038,MES,MONS,19.0351,64.5638,340,dmdA,19.19
70,ERX555980,TARA_038,MES,MONS,19.0351,64.5638,340,recA_hits,3183.0
1421,ERX555981,TARA_122,MES,SPSG,-8.9729,-139.2393,600,dddD,2.21
521,ERX555981,TARA_122,MES,SPSG,-8.9729,-139.2393,600,dddK,0.0
1646,ERX555981,TARA_122,MES,SPSG,-8.9729,-139.2393,600,dddL,0.0
746,ERX555981,TARA_122,MES,SPSG,-8.9729,-139.2393,600,dddP,6.01
1196,ERX555981,TARA_122,MES,SPSG,-8.9729,-139.2393,600,dddQ,0.0
971,ERX555981,TARA_122,MES,SPSG,-8.9729,-139.2393,600,dddW,0.0
296,ERX555981,TARA_122,MES,SPSG,-8.9729,-139.2393,600,dmdA,6.4
71,ERX555981,TARA_122,MES,SPSG,-8.9729,-139.2393,600,recA_hits,1606.0
1422,ERX555982,TARA_084,SRF,ANTA,-60.2287,-60.6476,5,dddD,5.69
522,ERX555982,TARA_084,SRF,ANTA,-60.2287,-60.6476,5,dddK,53.86
1647,ERX555982,TARA_084,SRF,ANTA,-60.2287,-60.6476,5,dddL,0.0
747,ERX555982,TARA_084,SRF,ANTA,-60.2287,-60.6476,5,dddP,4.14
1197,ERX555982,TARA_084,SRF,ANTA,-60.2287,-60.6476,5,dddQ,0.0
972,ERX555982,TARA_084,SRF,ANTA,-60.2287,-60.6476,5,dddW,0.0
297,ERX555982,TARA_084,SRF,ANTA,-60.2287,-60.6476,5,dmdA,45.03
72,ERX555982,TARA_084,SRF,ANTA,-60.2287,-60.6476,5,recA_hits,1990.0
1423,ERX555983,TARA_041,SRF,MONS,14.6059,69.9776,5,dddD,4.05
523,ERX555983,TARA_041,SRF,MONS,14.6059,69.9776,5,dddK,0.0
1648,ERX555983,TARA_041,SRF,MONS,14.6059,69.9776,5,dddL,0.0
748,ERX555983,TARA_041,SRF,MONS,14.6059,69.9776,5,dddP,2.11
1198,ERX555983,TARA_041,SRF,MONS,14.6059,69.9776,5,dddQ,0.0
973,ERX555983,TARA_041,SRF,MONS,14.6059,69.9776,5,dddW,0.0
298,ERX555983,TARA_041,SRF,MONS,14.6059,69.9776,5,dmdA,32.43
73,ERX555983,TARA_041,SRF,MONS,14.6059,69.9776,5,recA_hits,2138.0
1424,ERX555984,TARA_148,SRF,NAST-W,31.6948,-64.2489,5,dddD,3.74
524,ERX555984,TARA_148,SRF,NAST-W,31.6948,-64.2489,5,dddK,1.91
1649,ERX555984,TARA_148,SRF,NAST-W,31.6948,-64.2489,5,dddL,0.0
749,ERX555984,TARA_148,SRF,NAST-W,31.6948,-64.2489,5,dddP,1.52
1199,ERX555984,TARA_148,SRF,NAST-W,31.6948,-64.2489,5,dddQ,0.0
974,ERX555984,TARA_148,SRF,NAST-W,31.6948,-64.2489,5,dddW,0.0
299,ERX555984,TARA_148,SRF,NAST-W,31.6948,-64.2489,5,dmdA,24.6
74,ERX555984,TARA_148,SRF,NAST-W,31.6948,-64.2489,5,recA_hits,9062.0
1425,ERX555985,TARA_052,SRF,ISSG,-16.957,53.9801,5,dddD,1.11
525,ERX555985,TARA_052,SRF,ISSG,-16.957,53.9801,5,dddK,0.0
1650,ERX555985,TARA_052,SRF,ISSG,-16.957,53.9801,5,dddL,0.0
750,ERX555985,TARA_052,SRF,ISSG,-16.957,53.9801,5,dddP,0.75
1200,ERX555985,TARA_052,SRF,ISSG,-16.957,53.9801,5,dddQ,0.61
975,ERX555985,TARA_052,SRF,ISSG,-16.957,53.9801,5,dddW,0.0
300,ERX555985,TARA_052,SRF,ISSG,-16.957,53.9801,5,dmdA,19.61
75,ERX555985,TARA_052,SRF,ISSG,-16.957,53.9801,5,recA_hits,14527.0
1426,ERX555986,TARA_068,SRF,SATL,-31.0266,4.665,5,dddD,3.71
526,ERX555986,TARA_068,SRF,SATL,-31.0266,4.665,5,dddK,0.0
1651,ERX555986,TARA_068,SRF,SATL,-31.0266,4.665,5,dddL,0.0
751,ERX555986,TARA_068,SRF,SATL,-31.0266,4.665,5,dddP,0.0
1201,ERX555986,TARA_068,SRF,SATL,-31.0266,4.665,5,dddQ,0.0
976,ERX555986,TARA_068,SRF,SATL,-31.0266,4.665,5,dddW,0.0
