,32vmax,34epsilon
0,1000000.0,1.3314072509261254
1,11090909.090909092,3.7331048492507874
2,21181818.181818184,3.84632610183331
3,31272727.272727273,3.8864767987914863
4,41363636.36363637,3.9070369198557993
5,51454545.45454546,3.9195327118982135
6,61545454.54545455,3.927930923900397
7,71636363.63636364,3.933963185650947
8,81727272.72727273,3.938505890102649
9,91818181.81818183,3.9420501580395513
10,101909090.90909092,3.9448925867309867
11,112000000.00000001,3.947222881438652
12,122090909.0909091,3.9491680295119864
13,132181818.18181819,3.950816240446245
14,142272727.27272728,3.9522306979109074
15,152363636.36363637,3.95345784703653
16,162454545.45454547,3.9545325930519435
17,172545454.54545456,3.9554816757315234
18,182636363.63636366,3.9563259251839553
19,192727272.72727275,3.9570818089644892
20,202818181.81818184,3.9577625173442517
21,212909090.90909094,3.9583787399646138
22,223000000.00000003,3.9589392316040093
23,233090909.09090912,3.959451231015209
24,243181818.1818182,3.9599207754552896
25,253272727.27272728,3.960352940040721
26,263363636.36363637,3.960752022078792
27,273454545.4545455,3.9611216845772574
28,283545454.54545456,3.9614650691055764
29,293636363.6363637,3.961784885408287
30,303727272.72727275,3.9620834831276937
31,313818181.8181819,3.962362909702015
32,323909090.90909094,3.962624957449446
33,334000000.0,3.9628712020917654
34,344090909.0909091,3.9631030345254943
35,354181818.1818182,3.9633216871545907
36,364272727.2727273,3.963528255828182
37,374363636.3636364,3.9637237182597156
38,384454545.4545455,3.9639089495285633
39,394545454.54545456,3.964084735195051
40,404636363.6363637,3.964251782477396
41,414727272.72727275,3.9644107297749858
42,424818181.8181819,3.9645621548408605
43,434909090.90909094,3.9647065818281044
44,445000000.00000006,3.9648444873478663
45,455090909.0909091,3.964976305764767
46,465181818.18181825,3.965102433764443
47,475272727.2727273,3.965223234353615
48,485363636.3636364,3.9653390403698854
49,495454545.4545455,3.9654501575414556
50,505545454.54545456,3.9655568672151715
51,515636363.6363637,3.9656594287163247
52,525727272.72727275,3.9657580814826217
53,535818181.8181819,3.9658530469274496
54,545909090.909091,3.9659445301095078
55,556000000.0,3.966032721216811
56,566090909.0909091,3.9661177968916728
57,576181818.1818182,3.966199921422623
58,586272727.2727274,3.9662792477994304
59,596363636.3636364,3.966355918671584
60,606454545.4545455,3.966430067223263
61,616545454.5454546,3.9665018179230516
62,626636363.6363637,3.966571287251735
63,636727272.7272727,3.9666385843171748
64,646818181.8181819,3.96670381143969
65,656909090.909091,3.966767064676666
66,667000000.0,3.9668284342831033
67,677090909.0909091,3.966888005159265
68,687181818.1818182,3.9669458572406437
69,697272727.2727274,3.967002065853053
70,707363636.3636364,3.967056702046954
71,717454545.4545455,3.967109832900117
72,727545454.5454546,3.967161521787689
73,737636363.6363637,3.9672118286403006
74,747727272.7272727,3.967260810183247
75,757818181.8181819,3.9673085201366063
76,767909090.909091,3.9673550094283687
77,778000000.0000001,3.9674003263697677
78,788090909.0909091,3.9674445168211587
79,798181818.1818182,3.96748762435318
80,808272727.2727274,3.967529690388042
81,818363636.3636364,3.9675707543361423
82,828454545.4545455,3.9676108537178614
83,838545454.5454546,3.9676500242732633
84,848636363.6363637,3.967688300080044
85,858727272.7272727,3.9677257136458155
86,868818181.8181819,3.967762295999275
87,878909090.909091,3.9677980767836347
88,889000000.0000001,3.9678330843276655
89,899090909.0909091,3.967867345732268
90,909181818.1818182,3.9679008869256807
91,919272727.2727274,3.9679337327456397
92,929363636.3636365,3.9679659069873954
93,939454545.4545455,3.9679974324682283
94,949545454.5454546,3.9680283310862534
95,959636363.6363637,3.968058623855112
96,969727272.7272727,3.9680883309662445
97,979818181.8181819,3.9681174718341787
98,989909090.909091,3.9681460651250156
99,1000000000.0,3.9681741288125183
