,Time,34DMSP_enz_deg,32DMSP_enz_deg,DMSP_total_enz_deg,-ln_fr_enz_deg,d34s_enz_deg,34DMSP_no_enz_deg,32DMSP_no_enz_deg,DMSP_total_no_enz_deg,-ln_fr_no_enz_deg,d34s_no_enz_deg
0,0.0,9036.644013034907,197963.3559869651,207000.0,-0.0,14.299999999996205,9036.644013034907,197963.3559869651,207000.0,-0.0,14.299999999996205
1,1.0816326530612246,8302.226852985097,181814.73904322623,190116.96589621133,0.0850793005349159,14.634366217278316,8271.398073853932,181136.9805770839,189408.3786509378,0.0888133756305165,14.649059807673614
2,2.163265306122449,7681.277360362866,168165.30637699945,175846.58373736232,0.16310686167447747,14.941716167128138,7570.953766608161,165740.65308243354,173311.6068490417,0.17762762331604193,14.99898333711358
3,3.2448979591836737,7152.71304499689,156549.94710209811,163702.660147095,0.23466705888533929,15.22414022606644,6929.823881221084,151652.8610240245,158582.68490524558,0.2664426646447455,15.349708147913477
4,4.326530612244898,6699.998313311067,146604.00766160313,153304.0059749142,0.30029587612488806,15.483590013091852,6342.986023976407,138762.4176654665,145105.4036894429,0.35525839292846173,15.701176394557592
5,5.408163265306123,6310.043859108138,138038.94407362075,144348.9879327289,0.3604848983848214,15.721881186633535,5805.842532162164,126967.56923570207,132773.41176786425,0.44407478885963575,16.053336543094822
6,6.4897959183673475,5972.3982081472595,130624.44467657735,136596.8428847246,0.41568495851345066,15.940698088150462,5314.185388868538,116175.21364135925,121489.3990302278,0.5328917850713548,16.406140521467716
7,7.571428571428572,5678.647244020146,124175.15723487647,129853.80447889662,0.4663095565569664,16.14160057196723,4864.162822870489,106300.15679398518,111164.31961685568,0.6217093296925337,16.759544526983028
8,8.653061224489797,5421.964634143167,118540.75539059928,123962.72002474245,0.5127379178248435,16.3260304731947,4452.249276653152,97264.44405919762,101716.69333585077,0.7105273607521119,17.11350816247048
9,9.73469387755102,5196.771504541338,113598.42177737909,118795.19328192042,0.5553178477452717,16.495319027620692,4075.217449112322,88996.7379801396,93071.95542925192,0.7993458849816845,17.467995793243986
10,10.816326530612246,4998.476875975194,109247.11697604838,114245.59385202356,0.5943683300813573,16.650694033242264,3730.1137477746115,81431.77205500207,85161.88580277668,0.8881648092535103,17.822972689342407
11,11.897959183673471,4823.2779787256695,105403.17205680294,110226.45003552861,0.6301819068751585,16.793286840171227,3414.2343812231516,74509.8187807443,77924.05316196746,0.9769841183182233,18.178408575421745
12,12.979591836734695,4668.005335761202,101996.87035523052,106664.87569099173,0.6630268766776194,16.924139305472874,3125.104605136305,68176.22804400405,71301.33264914036,1.0658037752885072,18.534275256579356
13,14.061224489795919,4530.001782811224,98969.77889758248,103499.7806803937,0.6931492995922031,17.04421028155423,2860.4592165067816,62380.99333949695,65241.45255600373,1.154623750953489,18.890547004670076
14,15.142857142857144,4407.027230749084,96272.64827234166,100679.67550309074,0.7207748460557848,17.154381891236525,2618.2248273224022,57078.35766080874,59696.58248813114,1.2434440192602785,19.247200324036704
15,16.22448979591837,4297.183269461853,93863.75051564215,98160.933785104,0.7461104800197778,17.255465264670367,2396.503631618448,52226.45269212558,54622.95632374403,1.3322645533871302,19.604213615178388
16,17.306122448979593,4198.853012463521,91707.55334016746,95906.40635263098,0.769346011181393,17.348206028960476,2193.5585234006076,47786.96810283889,49980.526626239494,1.4210853311745881,19.961567188746756
