Identifier,Peak_Nr,Area_All,Area_64,Area_66,Ampl_64,Ampl_66,d34S
linearity,1,14.442,13.78,0.661,714,3427,0
linearity,2,39.921,38.093,1.829,1954,9378,0
linearity,3,54.902,52.388,2.515,2687,12898,-0.016
linearity,4,74.495,71.083,3.412,3620,17373,-0.037
linearity,5,89.914,85.796,4.118,4399,21112,-0.009
linearity,6,122.744,117.122,5.623,6002,28808,0.109
linearity,7,175.932,167.872,8.06,8647,41518,0.211
