Identifier,Amount,Time_min,Replicate,Peak_Nr,Area_All,Area_64,Area_66,Ampl_64,Ampl_66,d34S,Type
Sulfanilamide,4,,,1,36.972,35.279,1.693,1848,8868,0,Standard
Sulfanilamide,4,,,2,49.847,47.56,2.287,1121,5386,2.349,Standard
Sulfanilamide,4,,,3,36.753,35.071,1.682,1844,8848,-0.164,Standard
SW,4,,,1,37.036,35.341,1.696,1853,8889,0,Standard
SW,4,,,2,48.437,46.181,2.256,1086,5299,19.718,Standard
SW,4,,,3,36.792,35.108,1.684,1844,8847,-0.072,Standard
Sulfanilamide,2,,,1,37.035,35.339,1.696,1852,8884,0,Standard
Sulfanilamide,2,,,2,26.699,25.474,1.225,605,2908,2.38,Standard
Sulfanilamide,2,,,3,36.719,35.039,1.681,1846,8854,-0.172,Standard
SW,2,,,1,36.955,35.263,1.692,1847,8862,0,Standard
SW,2,,,2,24.261,23.132,1.129,547,2668,18.594,Standard
SW,2,,,3,36.656,34.978,1.678,1846,8857,-0.173,Standard
Sulfanilamide,1.2,,,1,37.212,35.508,1.704,1855,8902,0,Standard
Sulfanilamide,1.2,,,2,15.467,14.757,0.71,359,1724,2.424,Standard
Sulfanilamide,1.2,,,3,36.789,35.105,1.684,1852,8883,-0.188,Standard
SW,1.2,,,1,37.123,35.423,1.7,1859,8921,0,Standard
SW,1.2,,,2,14.79,14.103,0.688,324,1577,17.56,Standard
SW,1.2,,,3,36.871,35.183,1.688,1858,8912,-0.149,Standard
DddD,,3,a,1,37.267,35.561,1.706,1866,8954,0,Sample
DddD,,3,a,2,107.138,102.184,4.954,2366,11466,11.529,Sample
DddD,,3,a,3,37.436,35.722,1.713,1869,8962,-0.281,Sample
DddD,,9,a,1,37.234,35.531,1.703,1862,8929,0,Sample
DddD,,9,a,2,155.793,148.591,7.202,3433,16629,12.02,Sample
DddD,,9,a,3,37.424,35.712,1.711,1865,8936,-0.325,Sample
DddY,,3,a,1,37.162,35.462,1.701,1857,8908,0,Sample
DddY,,3,a,2,132.506,126.371,6.135,2834,13751,13.396,Sample
DddY,,3,a,3,37.284,35.578,1.706,1860,8920,-0.167,Sample
DddY,,9,a,1,37.239,35.535,1.704,1861,8925,0,Sample
DddY,,9,a,2,124.638,118.863,5.775,2752,13364,14.408,Sample
DddY,,9,a,3,37.421,35.709,1.712,1863,8931,-0.13,Sample
DddD,,4,b,1,37.277,35.57,1.706,1862,8932,0,Sample
DddD,,4,b,2,92.938,88.642,4.297,2122,10279,11.332,Sample
DddD,,4,b,3,37.462,35.747,1.715,1867,8958,0.077,Sample
DddY,,4,b,1,37.406,35.693,1.713,1866,8955,0,Sample
DddY,,4,b,2,112.352,107.144,5.208,2476,12026,14.277,Sample
DddY,,4,b,3,37.504,35.787,1.717,1870,8972,0.036,Sample
DddY,,11,b,1,37.377,35.668,1.71,1868,8954,0,Sample
DddY,,11,b,2,120.07,114.502,5.568,2643,12841,15.92,Sample
DddY,,11,b,3,37.387,35.677,1.71,1865,8941,0.04,Sample
DddD,,4,c,1,37.274,35.568,1.706,1859,8915,0,Sample
DddD,,4,c,2,127.544,121.641,5.904,2877,13956,12.889,Sample
DddD,,4,c,3,37.519,35.802,1.717,1867,8954,0.006,Sample
DddD,,11,c,1,37.392,35.68,1.712,1865,8945,0,Sample
DddD,,11,c,2,51.305,48.93,2.375,1106,5365,12.88,Sample
DddD,,11,c,3,37.335,35.626,1.709,1865,8946,-0.039,Sample
DddY,,4,c,1,37.41,35.697,1.713,1868,8966,0,Sample
DddY,,4,c,2,123.441,117.717,5.724,2777,13491,14.353,Sample
DddY,,4,c,3,37.5,35.783,1.717,1869,8970,0.007,Sample
DddY,,11,c,1,37.39,35.678,1.712,1866,8953,0,Sample
DddY,,11,c,2,98.786,94.202,4.584,2214,10769,15.6,Sample
DddY,,11,c,3,37.381,35.669,1.711,1865,8947,-0.001,Sample
Sulfanilamide,4,,,1,37.263,35.557,1.706,1861,8926,0,Standard
Sulfanilamide,4,,,2,49.551,47.277,2.274,1146,5508,2.93,Standard
Sulfanilamide,4,,,3,37.123,35.424,1.699,1858,8910,-0.104,Standard
SW,4,,,1,37.324,35.616,1.708,1863,8931,0,Standard
SW,4,,,2,47.63,45.413,2.217,1089,5310,19.876,Standard
SW,4,,,3,37.126,35.427,1.699,1857,8906,0.011,Standard
Sulfanilamide,2,,,1,37.181,35.478,1.702,1856,8904,0,Standard
Sulfanilamide,2,,,2,25.159,24.005,1.155,576,2768,2.783,Standard
Sulfanilamide,2,,,3,36.941,35.25,1.691,1853,8891,-0.186,Standard
SW,2,,,1,37.335,35.626,1.709,1862,8936,0,Standard
SW,2,,,2,24.369,23.235,1.134,560,2728,18.855,Standard
SW,2,,,3,36.86,35.172,1.687,1849,8871,-0.133,Standard
DddD,,20,a,1,37.262,35.556,1.706,1862,8934,0,Sample
DddD,,20,a,2,85.839,81.866,3.974,1935,9384,12.683,Sample
DddD,,20,a,3,37.211,35.507,1.704,1858,8916,-0.081,Sample
DddD,,26,a,1,37.17,35.468,1.702,1858,8916,0,Sample
DddD,,26,a,2,96.97,92.481,4.489,2215,10738,12.719,Sample
DddD,,26,a,3,37.29,35.582,1.707,1861,8928,-0.1,Sample
DddD,,37,a,1,37.21,35.506,1.704,1856,8904,0,Sample
DddD,,37,a,2,80.003,76.3,3.702,1789,8672,12.381,Sample
DddD,,37,a,3,37.253,35.547,1.705,1856,8902,-0.1,Sample
DddD,,45,a,1,37.209,35.504,1.704,1857,8916,0,Sample
DddD,,45,a,2,108.675,103.643,5.031,2467,11967,12.423,Sample
DddD,,45,a,3,37.367,35.656,1.711,1861,8933,-0.002,Sample
DddD,,53,a,1,37.186,35.484,1.702,1858,8916,0,Sample
DddD,,53,a,2,110.037,104.945,5.092,2439,11826,12.373,Sample
DddD,,53,a,3,37.395,35.683,1.712,1860,8922,-0.02,Sample
DddY,,20,a,1,37.333,35.623,1.71,1862,8937,0,Sample
DddY,,20,a,2,59.726,56.946,2.78,1358,6622,18.449,Sample
DddY,,20,a,3,37.294,35.586,1.708,1864,8945,-0.001,Sample
DddY,,26,a,1,37.344,35.634,1.71,1860,8922,0,Sample
DddY,,26,a,2,60.479,57.664,2.815,1349,6578,19.059,Sample
DddY,,26,a,3,37.232,35.527,1.704,1861,8926,-0.062,Sample
DddY,,37,a,1,37.295,35.588,1.707,1859,8919,0,Sample
DddY,,37,a,2,54.75,52.199,2.551,1244,6072,20.064,Sample
