Identifier,Peak_Nr,Area_All,Area_64,Area_66,Ampl_64,Ampl_66,d34S
Blank,1,38.492,36.729,1.763,1919,9213,0
Blank,2,1.77,1.688,0.081,42,200,1.931
Blank,3,38.139,36.392,1.747,1913,9180,-0.122
Blank,1,38.452,36.691,1.761,1920,9213,0
Blank,2,1.366,1.303,0.063,33,161,1.623
Blank,3,37.816,36.084,1.732,1904,9136,-0.185
Blank,1,38.409,36.65,1.759,1918,9203,0
Blank,2,1.349,1.287,0.062,32,155,1.733
Blank,3,37.639,35.916,1.723,1898,9106,-0.343
Blank,1,38.222,36.472,1.75,1909,9160,0
Blank,2,1.341,1.279,0.061,32,152,1.506
Blank,3,37.412,35.699,1.713,1890,9069,0.126
Blank,1,37.946,36.208,1.738,1897,9104,0
Blank,2,1.318,1.258,0.06,31,150,1.318
Blank,3,37.315,35.607,1.708,1885,9041,-0.548
Blank,1,37.927,36.19,1.737,1896,9098,0
Blank,2,1.253,1.196,0.057,30,143,1.163
Blank,3,37.307,35.599,1.708,1886,9047,0.016
Blank,1,38.07,36.326,1.744,1901,9127,0
Blank,2,1.387,1.323,0.064,33,159,2.471
Blank,3,37.45,35.734,1.715,1892,9081,-0.168
Blank,1,40.236,38.393,1.843,2009,9639,0
Blank,2,1.401,1.337,0.064,34,166,2.17
Blank,3,39.435,37.629,1.806,1991,9551,-0.18
Blank,1,37.275,35.568,1.707,1858,8914,0
Blank,2,1.752,1.671,0.08,41,199,4.063
Blank,3,36.897,35.208,1.689,1857,8911,0
Blank,1,37.511,35.793,1.718,1870,8975,0
Blank,2,1.533,1.462,0.07,36,174,2.631
Blank,3,38.906,37.125,1.781,1935,9285,-0.123
