Identifier,Peak_Nr,Area_All,Area_64,Area_66,Ampl_64,Ampl_66,d34S
linearity,1,13.245,12.637,0.607,655,3146,-0.087
linearity,2,36.455,34.783,1.672,1787,8590,0
linearity,3,50.341,48.032,2.309,2469,11867,-0.034
linearity,4,67.828,64.717,3.111,3324,15976,0.003
linearity,5,82.507,78.723,3.784,4034,19390,-0.016
linearity,6,112.458,107.299,5.158,5511,26489,0.074
linearity,7,161.263,153.866,7.397,7927,38105,0.077
