Identifier 1,Peak_Nr,Area_All,Area_64,Area_66,Ampl_64,Ampl_66,d34S
Blank,1,36.855,35.169,1.686,1842,8833,0
Blank,2,1.552,1.481,0.071,36,174,2.335
Blank,3,36.372,34.707,1.664,1838,8814,0.252
Blank,1,37.076,35.377,1.699,1856,8911,0
Blank,2,1.376,1.313,0.063,32,154,2.253
Blank,3,36.133,34.478,1.655,1828,8777,-0.032
Blank,1,36.65,34.971,1.679,1834,8802,0
Blank,2,1.251,1.193,0.057,30,143,1.967
Blank,3,36.229,34.57,1.659,1832,8794,0.007
Blank,1,36.612,34.935,1.678,1834,8807,0
Blank,2,1.356,1.294,0.062,32,153,1.541
Blank,3,35.915,34.27,1.645,1821,8743,-0.079
Blank,1,36.678,34.998,1.68,1837,8817,0
Blank,2,1.215,1.16,0.056,29,141,1.163
Blank,3,36.213,34.554,1.659,1822,8748,-0.027
Blank,1,36.691,35.011,1.68,1839,8825,0
Blank,2,1.26,1.202,0.058,31,147,1.71
Blank,3,35.82,34.18,1.64,1818,8726,0.062
Blank,1,36.613,34.936,1.677,1833,8796,0
Blank,2,1.643,1.568,0.075,38,183,3.437
Blank,3,35.952,34.305,1.647,1819,8733,-0.022
Blank,1,37.246,35.54,1.706,1857,8911,0
Blank,2,1.872,1.786,0.086,42,204,5.091
Blank,3,36.655,34.977,1.679,1847,8863,0.009
Blank,1,37.526,35.806,1.72,1869,8978,0
Blank,2,1.707,1.628,0.079,39,188,3.96
Blank,3,36.948,35.254,1.693,1855,8911,-0.086
Blank,1,37.527,35.808,1.719,1870,8975,0
Blank,2,1.894,1.807,0.087,44,213,5.207
Blank,3,36.774,35.09,1.684,1856,8907,-0.016
