Identifier,Peak_Nr,Area_All,Area_64,Area_66,Ampl_64,Ampl_66,d34S
linearity,1,13.72,13.091,0.629,680,3265,-0.06
linearity,2,38.752,36.976,1.776,1872,8992,0
linearity,3,52.554,50.145,2.409,2569,12340,0.03
linearity,4,70.822,67.576,3.246,3471,16674,0.077
linearity,5,86.127,82.179,3.948,4211,20225,0.14
linearity,6,117.142,111.772,5.37,5737,27562,0.185
linearity,7,167.837,160.143,7.694,8247,39625,0.271
