Identifier,Amount,Time_min,Replicate,Peak_Nr,Area_All,Area_64,Area_66,Ampl_64,Ampl_66,d34S,Type
DmdA,,51,b,3,35.64,34.008,1.633,1779,8541,-0.032,Sample
DmdA,,51,c,1,35.752,34.114,1.638,1784,8565,0,Sample
DmdA,,51,c,2,53.118,50.66,2.458,1287,6235,11.992,Sample
DmdA,,51,c,3,35.545,33.917,1.629,1773,8510,-0.045,Sample
Sulfanilamide,4,,,1,35.905,34.261,1.645,1789,8589,0,Standard
Sulfanilamide,4,,,2,43.821,41.81,2.012,1065,5116,2.463,Standard
Sulfanilamide,4,,,3,35.941,34.295,1.646,1795,8619,0.109,Standard
SW,4,,,1,36.13,34.474,1.656,1798,8636,0,Standard
SW,4,,,2,43.889,41.844,2.045,1093,5332,19.42,Standard
SW,4,,,3,36.317,34.653,1.664,1812,8699,-0.377,Standard
Sulfanilamide,6,,,1,36.518,34.845,1.673,1821,8742,0,Standard
Sulfanilamide,6,,,2,68.767,65.611,3.156,1645,7902,1.737,Standard
Sulfanilamide,6,,,3,36.94,35.248,1.692,1840,8831,-0.278,Standard
