FileHeader,Identifier,Peak_Nr,Area_All,Area_64,Area_66,Ampl_64,Ampl_66,d34S
linearity__(1).dxf,linearity,1,14.308,13.653,0.656,707,3397,0.051
linearity__(1).dxf,linearity,2,39.604,37.79,1.815,1939,9313,0
linearity__(1).dxf,linearity,3,54.58,52.079,2.501,2672,12828,-0.028
linearity__(1).dxf,linearity,4,73.636,70.262,3.374,3603,17300,-0.038
linearity__(1).dxf,linearity,5,89.212,85.124,4.088,4360,20939,-0.027
linearity__(1).dxf,linearity,6,121.694,116.117,5.577,5949,28569,0.02
linearity__(1).dxf,linearity,7,173.829,165.863,7.966,8539,41008,0.064
