Dataset,Sample_ID,Enzyme,Number_of_transcripts,Latitude_deg_N,Longitude_deg_E,Sampling_depth_m,Depth_zone,Size_fraction_lower_threshold_micrometre,Size_fraction_upper_threshold_micrometre,Ocean_and_sea_regions,Marine_pelagic_biomes _Longhurst_2007
Tara_Oceans,ERR599022,dddY,15,-30.1367,-43.2899,5,SRF,0.22,3,SAO,SATL
Tara_Oceans,ERR599027,dddY,0,-47.2007,-57.9446,40,DCM,0.22,3,SAO,FKLD
Tara_Oceans,ERR599031,dddY,0,20.8457,63.5851,600,MES,0.22,1.6,IO,ARAB
Tara_Oceans,ERR599035,dddY,0,-47.1863,-58.2902,5,SRF,0.22,3,SAO,FKLD
Tara_Oceans,ERR599067,dddY,6,2.0649,-84.5546,380,MES,0.22,3,NPO,CHIL
Tara_Oceans,ERR599098,dddY,1,-16.957,53.9801,5,SRF,0.22,1.6,IO,ISSG
Tara_Oceans,ERR599102,dddY,0,19.0393,64.4913,5,SRF,0.22,1.6,IO,MONS
Tara_Oceans,ERR599104,dddY,0,-62.2231,-49.2139,90,DCM,0.22,3,SO,ANTA
Tara_Oceans,ERR599109,dddY,0,19.0351,64.5638,340,MES,0.22,1.6,IO,MONS
Tara_Oceans,ERR599113,dddY,1,-12.9723,-96.0122,50,DCM,0.22,3,SPO,SPSG
Tara_Oceans,ERR599169,dddY,0,-13.0023,-95.9759,5,SRF,0.22,3,SPO,SPSG
Tara_Oceans,ERR599176,dddY,0,-62.0385,-49.529,5,SRF,0.22,3,SO,ANTA
Tara_Oceans,ERR598943,dddW,0,-5.2529,-85.1545,5,SRF,0.22,3,SPO,PEOD
Tara_Oceans,ERR598945,dddW,0,-60.2287,-60.6476,5,SRF,0.22,3,SO,ANTA
Tara_Oceans,ERR598952,dddW,0,2.0299,-84.5546,30,DCM,0.22,3,NPO,CHIL
Tara_Oceans,ERR598953,dddW,0,-12.9794,-96.0232,177,DCM,0.22,3,SPO,SPSG
Tara_Oceans,ERR598956,dddW,0,-8.9109,-140.2845,150,MIX,0.22,3,SPO,SPSG
Tara_Oceans,ERR598976,dddW,0,36.1715,-29.023,5,SRF,0.22,3,NAO,NAST-E
Tara_Oceans,ERR598977,dddW,0,14.5536,70.0128,60,DCM,0.22,1.6,IO,MONS
Tara_Oceans,ERR598988,dddW,0,-9.0714,-140.5973,120,MIX,0.22,3,SPO,SPSG
Tara_Oceans,ERR598999,dddW,0,-8.9729,-139.2393,600,MES,0.22,3,SPO,SPSG
Tara_Oceans,ERR599004,dddW,0,6.3559,-103.0598,450,MES,0.22,3,NPO,PNEC
Tara_Oceans,ERR599010,dddW,0,-20.9354,-35.1803,5,SRF,0.22,3,SAO,SATL
Tara_Oceans,ERR599011,dddW,0,14.6059,69.9776,5,SRF,0.22,1.6,IO,MONS
Tara_Oceans,ERR599015,dddW,0,14.2025,-116.6433,375,MES,0.22,3,NPO,PNEC
Tara_Oceans,ERR599016,dddW,0,-16.9534,53.9601,75,DCM,0.22,1.6,IO,ISSG
Tara_Oceans,ERR599022,dddW,0,-30.1367,-43.2899,5,SRF,0.22,3,SAO,SATL
Tara_Oceans,ERR599027,dddW,0,-47.2007,-57.9446,40,DCM,0.22,3,SAO,FKLD
Tara_Oceans,ERR599031,dddW,0,20.8457,63.5851,600,MES,0.22,1.6,IO,ARAB
Tara_Oceans,ERR599035,dddW,0,-47.1863,-58.2902,5,SRF,0.22,3,SAO,FKLD
Tara_Oceans,ERR599067,dddW,0,2.0649,-84.5546,380,MES,0.22,3,NPO,CHIL
Tara_Oceans,ERR599098,dddW,0,-16.957,53.9801,5,SRF,0.22,1.6,IO,ISSG
Tara_Oceans,ERR599102,dddW,0,19.0393,64.4913,5,SRF,0.22,1.6,IO,MONS
Tara_Oceans,ERR599104,dddW,0,-62.2231,-49.2139,90,DCM,0.22,3,SO,ANTA
Tara_Oceans,ERR599109,dddW,0,19.0351,64.5638,340,MES,0.22,1.6,IO,MONS
Tara_Oceans,ERR599113,dddW,0,-12.9723,-96.0122,50,DCM,0.22,3,SPO,SPSG
Tara_Oceans,ERR599169,dddW,0,-13.0023,-95.9759,5,SRF,0.22,3,SPO,SPSG
Tara_Oceans,ERR599176,dddW,0,-62.0385,-49.529,5,SRF,0.22,3,SO,ANTA
