Experiment,Station,Depth_zone,Marine_pelagic_biomes _Longhurst_2007,Latitude_deg_N,Longitude_deg_E,Sampling_depth_m,recA_hits,dmdA,dddK,dddP,dddW,dddQ,dddD,dddL
ERX556034,TARA_038,DCM,MONS,19.0284,64.5126,25,14496,10.72,0.63,1.23,0,0,0.57,0
ERX556035,TARA_033,SRF,REDS,21.9467,38.2517,5,5232,25.17,0,5.82,0,0.77,5.68,0
ERX556037,TARA_150,SRF,NAST-W,35.9346,-37.3032,5,12762,13.94,6.11,0.54,0,0,2.55,0
ERX556038,TARA_068,DCM,SATL,-31.027,4.6802,50,1588,11.79,5.95,0,0,0,0.73,0
ERX556039,TARA_018,DCM,MEDI,35.7528,14.2765,60,3196,7.07,4.82,0,0,0,1.96,0
ERX556040,TARA_151,DCM,NAST-E,36.1811,-28.9373,80,9010,22.97,8.96,2.02,0,0,4.22,0.23
ERX556041,TARA_068,DCM,SATL,-31.027,4.6802,50,1372,13.08,0,0,0,0,1.43,0
ERX556042,TARA_138,MES,PNEC,6.3559,-103.0598,450,2057,10.33,0,2.04,0,0,1.52,0
ERX556043,TARA_109,MES,CHIL,2.0649,-84.5546,380,7663,12.85,0,3.1,0,0,3.85,0
ERX556044,TARA_125,SRF,SPSG,-8.9111,-142.5571,5,2413,21.14,0,0,0,0,3.06,0
ERX556045,TARA_093,DCM,CHIL,-33.9116,-73.0537,35,11178,26.3,34.25,4.09,0,1.62,3.6,0
ERX556046,TARA_066,DCM,BENG,-34.8901,18.0459,30,1166,16.22,10.19,0.75,0,0,1.87,0
ERX556047,TARA_122,MES,SPSG,-8.9729,-139.2393,600,1373,1.77,0,7.78,0,0,2.18,0
ERX556048,TARA_102,DCM,PEOD,-5.2669,-85.2732,40,1399,17.26,12.54,1.98,0,0,0.64,0
ERX556049,TARA_098,SRF,SPSG,-25.8051,-111.7202,5,2433,48.27,0.89,2.24,0,0,0.95,0
ERX556050,TARA_102,MES,PEOD,-5.261,-85.1678,480,1021,11.49,0,11.16,0,0,1.84,0
ERX556051,TARA_102,MES,PEOD,-5.261,-85.1678,480,1977,5.94,0,4.24,0,0,4.79,0
ERX556052,TARA_042,SRF,MONS,6.0001,73.8955,5,8056,47.32,0,4.29,0,0.74,1.05,0
ERX556053,TARA_146,MES,NAST-W,34.6663,-71.2907,640,4040,22.01,0,6.92,0,0,1.38,0
ERX556054,TARA_152,SRF,NAST-E,43.6792,-16.8344,5,10452,19.95,3.44,2.64,0,0,2.78,0
ERX556055,TARA_032,DCM,REDS,23.4183,37.245,80,1152,14.9,0,0.69,0,0,0,1.61
ERX556056,TARA_048,SRF,ISSG,-9.3921,66.4228,5,11671,58.79,0,4.27,0,0,1,0
ERX556057,TARA_124,SRF,SPSG,-9.1504,-140.5216,5,2610,35.6,0,2.76,0,2.36,2.27,0
ERX556058,TARA_084,SRF,ANTA,-60.2287,-60.6476,5,11600,10.34,32.14,2.74,0,0,6.79,0
ERX556059,TARA_146,SRF,NAST-W,34.6712,-71.3093,5,9147,21.58,1.53,0.86,0,0,2.58,0
ERX556060,TARA_111,DCM,SPSG,-16.9587,-100.6751,90,12178,20.35,1.49,0.19,0,0,2.66,0
ERX556061,TARA_038,DCM,MONS,19.0284,64.5126,25,3201,2.51,0,0,0,0,1.04,0
ERX556062,TARA_141,SRF,GUIA,9.8481,-80.0454,5,12082,24.36,1.18,5.29,0,0,2.77,0
ERX556063,TARA_052,DCM,ISSG,-16.9534,53.9601,75,12114,18.57,0.69,0.36,0,0,1.04,0
ERX556064,TARA_085,DCM,ANTA,-62.2231,-49.2139,90,1101,9.87,19.37,0,0,0,17.65,0
ERX556065,TARA_098,DCM,SPSG,-25.826,-111.7294,188,4510,11.85,0,0,0,0,1.69,0
ERX556066,TARA_032,SRF,REDS,23.36,37.2183,5,2155,1.44,0,0,0,0,0,0.24
ERX556067,TARA_004,DCM,NAST-E,36.5533,-6.5669,40,1444,15.65,9.72,0.66,0,0,2.31,0
ERX556068,TARA_058,DCM,EAFR,-17.2855,42.2866,66,7531,28.06,0,4.19,0,0,1.52,0
ERX556069,TARA_037,MES,ARAB,20.8457,63.5851,600,1602,4.66,0,5.43,0,0,0.69,0
ERX556070,TARA_111,MES,SPSG,-16.9486,-100.6715,350,8974,22.52,0,4.26,0,0,4.32,0
ERX556071,TARA_068,SRF,SATL,-31.0266,4.665,5,1674,16.68,7.26,0,0,0,2.37,0
ERX556072,TARA_065,DCM,EAFR,-35.2421,26.3048,30,2212,26.83,0,3.15,0,3.02,1,0
ERX556073,TARA_036,SRF,ARAB,20.8183,63.5047,5,6250,8.8,1.17,0.34,0,0,1,0
ERX556074,TARA_100,SRF,SPSG,-13.0023,-95.9759,5,3434,29.51,0,0,0,0,2.93,0
ERX556075,TARA_078,DCM,SATL,-30.1484,-43.2705,120,8232,12.56,0,0.5,0,0,2.3,0
ERX556076,TARA_124,SRF,SPSG,-9.1504,-140.5216,5,2683,35.53,0,2.6,0,0,1.69,0
ERX556078,TARA_038,MES,MONS,19.0351,64.5638,340,7392,19.57,0,5.45,0.25,0,4.88,0
ERX556079,TARA_072,DCM,SATL,-8.7296,-17.9604,100,1505,21.84,0,0.89,0,0,1.11,1.11
ERX556080,TARA_032,SRF,REDS,23.36,37.2183,5,3622,13.33,0,1.03,0,0,1.69,0
ERX556081,TARA_100,DCM,SPSG,-12.9794,-96.0232,177,2898,14.99,0,2.95,0,0,5.19,0
ERX556082,TARA_025,SRF,MEDI,39.3888,19.3905,5,1762,39.57,47.04,3.86,1.19,0,8.97,0
ERX556083,TARA_149,MES,NAST-W,34.0771,-49.8233,740,6114,12.8,0,8,0.27,0,0.73,0
ERX556084,TARA_067,SRF,BENG,-32.2401,17.7103,5,2241,18.52,26.63,3.92,0,0,4.8,0
ERX556085,TARA_078,DCM,SATL,-30.1484,-43.2705,120,650,11.94,0,0,0,0,0,0
ERX556086,TARA_109,SRF,CHIL,1.9928,-84.5766,5,1730,26.85,0,3.2,0,0,2.86,0
ERX556087,TARA_064,DCM,EAFR,-29.5333,37.9117,65,1637,11.85,0,0.63,0,0,0,0
ERX556088,TARA_078,SRF,SATL,-30.1367,-43.2899,5,9229,14.83,0,0.58,0,0,2.38,0
ERX556090,TARA_078,MES,SATL,-30.1471,-43.2915,800,7479,16.55,0,8.25,0,0,2.21,0
ERX556091,TARA_065,SRF,EAFR,-35.1728,26.2868,5,4838,25.76,0,1.21,0,0,1.34,0.26
ERX556092,TARA_100,SRF,SPSG,-13.0023,-95.9759,5,1366,30.53,0,4.06,0,3.74,6.91,0
ERX556094,TARA_132,SRF,NPST,31.5213,-158.9958,5,10268,26.49,5.31,0.6,0,0.27,2.95,0
ERX556095,TARA_078,MES,SATL,-30.1471,-43.2915,800,820,15.02,0,8.49,0,0,3.44,0
ERX556096,TARA_064,SRF,EAFR,-29.5019,37.9889,5,1404,46.21,0,2.65,0,0,4.53,0
ERX556097,TARA_137,DCM,PNEC,14.2075,-116.6468,40,3331,16.77,0,7.34,0,0,3.33,0
ERX556098,TARA_042,DCM,MONS,5.9998,73.9067,80,24127,8.86,0,1.17,0,0.29,1.13,0
ERX556099,TARA_138,MES,PNEC,6.3559,-103.0598,450,2231,8.82,0,3.02,0,0,1.89,0
ERX556100,TARA_039,MES,MONS,18.7341,66.3896,270,2976,17.5,0,5.11,0,0,4.65,0
ERX556101,TARA_145,SRF,GFST,39.2305,-70.0377,5,8756,17.4,13.88,1.02,0,0.66,2,0
ERX556102,TARA_137,MES,PNEC,14.2025,-116.6433,375,3087,14.23,0,1.26,0,0,1.11,0.18
ERX556103,TARA_142,DCM,CARB,25.6168,-88.4532,125,11112,23.59,0,2.27,0,0,1.8,0
ERX556104,TARA_137,DCM,PNEC,14.2075,-116.6468,40,2795,24.18,0,2.27,0,0,1.68,0
ERX556105,TARA_045,SRF,MONS,0.0033,71.6428,5,6256,55.92,0,5.23,0,0.65,4.64,0.1
ERX556106,TARA_138,SRF,PNEC,6.3332,-102.9432,5,10164,28.54,0,0.96,0,0,2.33,0.35
ERX556107,TARA_066,SRF,BENG,-34.9449,17.9189,5,1140,31.73,0,0.76,0,0,2.96,0
ERX556108,TARA_148b,MES,NAST-W,34.1504,-56.9684,250,8248,7.29,0,1.4,0,0,0.23,0
ERX556109,TARA_067,SRF,BENG,-32.2401,17.7103,5,1870,17.22,24.4,5.54,0,0,4.48,0
ERX556110,TARA_085,SRF,ANTA,-62.0385,-49.529,5,2992,5.7,23.19,0,0,0,6.48,0
ERX556111,TARA_070,SRF,SATL,-20.4091,-3.1759,5,636,23.18,0,0,0,0,1.01,0
ERX556112,TARA_072,MES,SATL,-8.7986,-17.9034,800,3857,13.18,0,1.58,0,0,0.5,0
ERX556113,TARA_066,DCM,BENG,-34.8901,18.0459,30,1225,19.24,14.33,0,0,0,3.31,2.24
ERX556114,TARA_132,MES,NPST,31.528,-159.0224,550,7900,20.03,0,2.33,0,0,2.78,0
ERX556115,TARA_137,DCM,PNEC,14.2075,-116.6468,40,3080,26.13,0,6.96,0,0,2.72,0
ERX556116,TARA_038,SRF,MONS,19.0393,64.4913,5,4442,2.79,1.22,0.36,0,0,2.09,0
ERX556117,TARA_124,SRF,SPSG,-9.1504,-140.5216,5,2349,38.48,0,2.97,0,0,3.54,0
ERX556118,TARA_042,SRF,MONS,6.0001,73.8955,5,3209,11.36,0,0.62,0,0,0,0
ERX556119,TARA_064,DCM,EAFR,-29.5333,37.9117,65,5348,11.08,0,0.95,0,0,1.21,0
ERX556120,TARA_137,MES,PNEC,14.2025,-116.6433,375,2778,14.52,0,2.59,0,0,1.4,0
ERX556121,TARA_140,SRF,CAMR,7.4122,-79.3017,5,20504,9.38,0.36,0.63,0,0,1.41,0
ERX556122,TARA_048,SRF,ISSG,-9.3921,66.4228,5,2326,48.53,0,3.03,0,0,5.05,0
ERX556123,TARA_076,MES,SATL,-20.9315,-35.1794,800,7341,9.05,0,3.6,0,0,1.74,0
ERX556124,TARA_025,DCM,MEDI,39.3991,19.3997,50,1978,10.88,0,0,0,0,0,0
ERX556125,TARA_041,DCM,MONS,14.5536,70.0128,60,2451,7.2,0,1.03,0,0,0.52,0
ERX556126,TARA_123,SRF,SPSG,-8.9068,-140.283,5,10271,25.81,0,2.85,0,1.58,2.66,0
ERX556127,TARA_064,SRF,EAFR,-29.5019,37.9889,5,10440,34.3,0.44,1.47,0,0,2.2,0
ERX556128,TARA_109,DCM,CHIL,2.0299,-84.5546,30,1040,50.08,0,4.11,0,0,4.19,0
ERX556129,TARA_062,SRF,EAFR,-22.3368,40.3412,5,9177,22.13,0,4.96,0,0,1.68,0
ERX556130,TARA_096,SRF,SPSG,-29.7238,-101.1604,5,11273,44.55,19.28,1.57,0,0,2.19,0
ERX556131,TARA_076,MES,SATL,-20.9315,-35.1794,800,445,28.77,0,2.13,0,0,0,0.05
ERX556132,TARA_045,SRF,MONS,0.0033,71.6428,5,2179,38.14,0,1.31,0,0,1.33,0
ERX556133,TARA_085,SRF,ANTA,-62.0385,-49.529,5,7962,6.49,64.23,0.14,0,0,11.22,0
ERX556134,TARA_128,DCM,PEOD,0.0222,-153.6858,40,9937,29.93,0,0.37,0,1.01,3.1,0
ERX556135,TARA_036,DCM,ARAB,20.8222,63.5133,17,1963,11.12,5.23,1.94,0,0,3.46,0
ERX556136,TARA_042,DCM,MONS,5.9998,73.9067,80,2165,11.51,0,2.16,0,0,0.39,0
ERX556137,TARA_110,SRF,SPSG,-2.0133,-84.589,5,10952,22.59,0,3.17,0,2.3,1.79,0
ERX556138,TARA_138,MES,PNEC,6.3559,-103.0598,450,2226,2.96,0,2.45,0,0,1.13,0
ERX556139,TARA_085,MES,ANTA,-61.9689,-49.5017,790,6907,18.25,0,7.85,0,0,3.08,0
