enzyme,DsyB,DSYB,DddD,DddK,DddL,DddP,DddQ,DddW,DddY,Alma1,RecA
number_of_seqs,230,9,"3,660",425,96,"8,242",845,3,28,60,"65,727"
percentage_of_bacteria,0.349932296,0.013693003,5.568487836,0.646614025,0.146058697,12.53974774,1.285620826,0.004564334,0.042600453,0.091286686,100
